sample_id,domain,ground_truth,phase7_response,p1_score,retrieval_status,retrieval_failure_type,nli_status,nli_failure_type,evidence_quality,diagnosis
gen_0014,General Knowledge,1,"The Eiffel Tower is located in Paris, France.",0.05,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0015,General Knowledge,0,"The highest mountain on Earth is Mount Everest, which stands at an elevation of 8,848 meters above sea level.",0.4856,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0016,General Knowledge,1,"The world's smallest ocean is the Dead Sea, located between Israel and Egypt in the Mediterranean Sea. It covers an area",0.7578,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0017,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0018,General Knowledge,1,"The Eiffel Tower is located in Paris, France. It is the tallest man-made structure in the world at 324 meters (1,063 fee",0.3654,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
gen_0019,General Knowledge,0,"The highest mountain on Earth is Mount Everest, which stands at an elevation of 8,848 meters (29,031 feet) above sea lev",0.402,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0020,General Knowledge,1,"The smallest ocean is the Pacific Ocean, which covers 36% of Earth's surface area.",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0021,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0022,General Knowledge,1,"The Eiffel Tower is located in Paris, France.",0.05,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0023,General Knowledge,0,The highest mountain on Earth is Mount Everest.,0.005,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0024,General Knowledge,1,The smallest ocean is the Arctic Ocean.,0.0046,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0025,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0026,General Knowledge,1,"The Eiffel Tower is located in Paris, France. It stands at 300 meters (984 feet) tall and has a diameter of approximatel",0.0339,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0027,General Knowledge,0,"The highest mountain on Earth is Mount Everest, located in Nepal.",0.1403,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0028,General Knowledge,1,"The smallest ocean in terms of area is the Bohai Sea, which covers an area of approximately 806,251 square kilometers (3",0.7464,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0029,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0030,General Knowledge,1,"The Eiffel Tower is located in Paris, France.",0.05,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0031,General Knowledge,0,"The highest mountain on Earth is Mount Everest, located in Nepal and China. It stands at 8,848 meters (29,028 feet) abov",0.1577,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0032,General Knowledge,1,"The smallest ocean in terms of surface area is the Arctic Ocean, which covers an estimated 13% of the Earth's total surf",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0033,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0034,General Knowledge,1,"The Eiffel Tower is located in Paris, France.",0.05,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0035,General Knowledge,0,"The highest mountain on Earth is Mount Everest, located in the Himalayas of Nepal. It stands at an elevation of 8,848 me",0.2038,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0036,General Knowledge,1,"The smallest ocean in terms of surface area and depth is the Dead Sea, which lies between Israel, Jordan, and Egypt. It ",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0037,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0038,General Knowledge,1,"The Eiffel Tower is located in Paris, France.",0.05,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0039,General Knowledge,0,"The highest mountain on Earth is Mount Everest, located in the Himalayas of Nepal. It stands at 8,848 meters above sea l",0.5606,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
gen_0040,General Knowledge,1,The smallest ocean is the Sargasso Sea. It is located in the Atlantic Ocean and covers about 10% of its surface area.,0.7019,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0041,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0042,General Knowledge,1,"The Eiffel Tower is located in Paris, France.",0.05,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0043,General Knowledge,0,"The highest mountain on Earth is Mount Everest, which stands at 8,848 meters (29,031 feet) above sea level.",0.5113,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
gen_0044,General Knowledge,1,"The smallest ocean in the world is the North Pacific Ocean, which covers an area of about 180 million square kilometers ",0.6596,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0045,General Knowledge,0,The capital city of France is Paris.,0.0027,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0046,General Knowledge,1,"The Eiffel Tower is located in Paris, France. It was completed and opened to the public on March 30, 1889.",0.1,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
gen_0047,General Knowledge,0,"Mount Everest is the highest mountain on Earth at an elevation of 8,848 meters above sea level.",0.1056,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0048,General Knowledge,1,"The smallest ocean in terms of surface area is the Arctic Ocean, which covers an area of approximately 16 million square",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0049,General Knowledge,0,The capital of France is Paris.,0.0024,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
gen_0050,General Knowledge,1,"The Eiffel Tower is located in Paris, France.",0.05,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0051,Medicine,0,Penicillin is a type of antibiotic that is commonly used to treat bacterial infections. It was first discovered in 1928 ,0.379,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0052,Medicine,1,Viral influenza is a respiratory infection caused by various types of influenza viruses. Treatment options vary dependin,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0053,Medicine,0,"Blood sugar is regulated by several hormones and pathways in the human body:

1. **Insulin**: This hormone is produced b",0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0054,Medicine,1,"Chemotherapy is primarily used to treat bacterial infections, including pneumonia. However, it does not cure bacterial p",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0055,Medicine,0,Penicillin is an antibiotic produced naturally by certain bacteria and molds. It works by inhibiting the growth of bacte,0.4961,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0056,Medicine,1,"Viral influenza is typically treated with antiviral medications. However, there are no approved vaccines available for a",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0057,Medicine,0,"Blood sugar regulation is primarily managed by two hormones in the body: insulin and glucagon.

1. **Insulin**:
   - Con",0.4045,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0058,Medicine,1,Chemotherapy does not cure bacterial pneumonia. Bacterial pneumonia is an infectious disease caused by bacteria or other,1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0059,Medicine,0,Penicillin was discovered and developed by Alexander Fleming in the early 20th century as a bacteriocidal agent that spe,0.5002,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
med_0060,Medicine,1,Viral influenza can be treated using various methods depending on the severity of the illness and the presence of underl,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0061,Medicine,0,"Blood sugar is regulated by the endocrine system and primarily through insulin. When血糖 levels rise, insulin is released ",0.4121,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0062,Medicine,1,"No, chemotherapy does not cure bacterial pneumonia. Bacterial pneumonia is an infection caused by bacteria that invade t",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0063,Medicine,0,"Penicillin is an antibiotic produced by Penicillium spp., which is found in soil and other environments. It has been use",0.4678,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0064,Medicine,1,Viral influenza is a contagious respiratory disease caused by various types of influenza viruses. It typically spreads t,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0065,Medicine,0,"Blood sugar is regulated by several factors including the release of hormones from the pancreas, the digestion and absor",0.3492,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0066,Medicine,1,Chemotherapy is primarily used to treat malignant diseases and certain forms of cancer. It does not have a significant e,1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0067,Medicine,0,Penicillin is a type of antibiotic that can be used to treat various bacterial infections. It was first discovered in 19,0.5002,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
med_0068,Medicine,1,Viral influenza is a common respiratory illness caused by various types of influenza viruses. Here are some basic treatm,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0069,Medicine,0,"Blood sugar is regulated by the pancreas, which produces insulin and glucagon to maintain stable blood sugar levels in t",0.0433,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0070,Medicine,1,Chemotherapy is not effective for treating bacterial pneumonia. Bacterial pneumonia is an infection caused by bacteria t,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0071,Medicine,0,Penicillin is a type of antibiotic that was discovered and developed in the early 1940s by Sir Alexander Fleming and his,0.6807,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
med_0072,Medicine,1,"Viral influenza is typically treated with antiviral medications, such as oseltamavir (Tamiflu) and zidovudine (Antivir).",0.4998,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
med_0073,Medicine,0,Blood sugar is regulated by the body through a complex system of hormones and enzymes that work together to maintain hom,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0074,Medicine,1,"No, chemotherapy does not cure bacterial pneumonia. Bacterial pneumonia is a serious illness that requires antibiotic tr",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0075,Medicine,0,Penicillin is an antibiotic produced by Penicillium fungus that has been widely used to treat bacterial infections. It w,0.4701,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0076,Medicine,1,Viral influenza is a respiratory infection caused by various types of influenza viruses. It can cause mild to severe sym,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0077,Medicine,0,"Blood sugar is regulated primarily by the pancreas, particularly through the release of insulin and glucagon.

Insulin i",0.4026,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0078,Medicine,1,"No, chemotherapy cannot cure bacterial pneumonia. Bacterial pneumonia is typically caused by bacteria that infect the lu",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0079,Medicine,0,Penicillin is a bacteriophage used in medicine to treat bacterial infections. It works by killing bacteria by inserting ,0.5003,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
med_0080,Medicine,1,"Viral influenza, also known as the flu, can be effectively managed and treated with appropriate medications. Here are so",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0081,Medicine,0,Blood sugar regulation is primarily managed through the body's endocrine system and a series of physiological mechanisms,0.4997,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0082,Medicine,1,"No, chemotherapy is not the primary treatment for bacterial pneumonia. Bacterial pneumonia requires antibiotics to kill ",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0083,Medicine,0,Penicillin is a type of antibiotic that is commonly used to treat bacterial infections. It works by inhibiting the growt,0.5516,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
med_0084,Medicine,1,Viral influenza is a contagious respiratory disease caused by influenza viruses. It can be mild or severe depending on f,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0085,Medicine,0,"Blood sugar is regulated by the endocrine system, which includes the pancreas, liver, and kidneys. The primary hormones ",0.5033,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
med_0086,Medicine,1,"No, chemotherapy does not cure bacterial pneumonia. Bacterial pneumonia is typically treated with antibiotics.",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0087,Medicine,0,Penicillin is an antibiotic medication that belongs to the penicilline family and is used to treat bacterial infections.,0.3745,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0088,Medicine,1,"Viral influenza is a common respiratory illness caused by viruses that infect the respiratory system, particularly the n",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0089,Medicine,0,"The body has two main systems that regulate blood sugar levels: the endocrine system and the nervous system.

1. Endocri",0.5003,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
med_0090,Medicine,1,"No, chemotherapy is not a cure for bacterial pneumonia. It is used to treat bacterial infections and reduce symptoms, bu",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0091,Medicine,0,Penicillin is an antibiotic that is produced naturally by the mold Penicillium and is used to treat bacterial infections,0.1603,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0092,Medicine,1,"Viral influenza is typically not treatable with medications, but symptoms can be managed to reduce severity and discomfo",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0093,Medicine,0,"Blood sugar is regulated by various hormones and processes in the body, including insulin, glucagon, and pancreatic cell",0.4998,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0094,Medicine,1,"Chemotherapy is used to treat various types of infections, including bacterial pneumonia. It works by targeting the bact",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0095,Medicine,0,Penicillin is a type of antibiotic that is used to treat bacterial infections. It works by inhibiting the growth of bact,0.295,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0096,Medicine,1,"Viral influenza, also known as flu, is a highly contagious respiratory infection caused by viruses in the Influenza Viru",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0097,Medicine,0,Blood sugar regulation involves several components working together to maintain stable levels of glucose in the body. Ke,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0098,Medicine,1,"No, chemotherapy is not effective in treating bacterial pneumonia. Bacterial pneumonia typically requires antibiotics to",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
med_0099,Medicine,0,Penicillin is an antibiotic produced by bacteria called Penicillium notatum. It is used to treat infections caused by Gr,0.4986,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
med_0100,Medicine,1,Viral influenza is a highly contagious respiratory illness caused by various strains of influenza viruses. It can be div,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0101,Law,0,Habeas Corpus is a constitutional provision in the United States Constitution that ensures that citizens have the right ,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0102,Law,1,The court handling parking fines in China is the People's Court.,0.5005,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0103,Law,0,"Stare decisis is a Latin phrase that means ""to look at the decision"" or ""to see what has been decided."" It refers to the",0.337,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0104,Law,1,"No, double jeopardy does not apply to felonies. Double jeopardy is an absolute rule in the United States that guarantees",0.6633,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0105,Law,0,Habeas Corpus is a constitutional right in the United States that allows a person to challenge a judge's decision or ord,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0106,Law,1,The court that handles parking fines in most places is the administrative or enforcement court. These courts typically h,0.5005,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0107,Law,0,Stare decisis is the Latin term used in jurisprudence to describe the principle that the Court should adhere strictly to,0.4991,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0108,Law,1,Double jeopardy does not apply to felonies in the United States. Double jeopardy is typically associated with a situatio,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0109,Law,0,Habeas corpus is a constitutional right of the accused person to challenge their detention or to require that their case,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0110,Law,1,The court that handles parking fines in most countries and regions is the local or district court. The specifics can var,0.4996,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
law_0111,Law,0,"Stare Decisis is a principle in law that refers to the doctrine of ""staying"" or ""standing by one's decision,"" meaning th",0.4416,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0112,Law,1,"No, double jeopardy does not apply to felonies. Double jeopardy is only applicable to civil cases, where the defendant i",0.5372,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0113,Law,0,Habeas corpus is an ancient English law that refers to a legal action initiated against the holder of a legal document o,0.3966,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0114,Law,1,"The court that handles parking fines is the People's Court. In most cases, you can file your parking fine case directly ",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0115,Law,0,"Stare decisis is a legal principle in civil law systems that refers to the doctrine of ""staying the judgment,"" which mea",0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0116,Law,1,"No, double jeopardy does not apply to felonies in the United States. Double jeopardy is a constitutional principle that ",0.3113,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0117,Law,0,Habeas corpus is a judicial remedy that allows a person to compel the government to release their personal property or l,0.7916,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
law_0118,Law,1,"In China, the court responsible for handling parking fines is the People's Court of the district level or above where th",0.5009,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0119,Law,0,"Stare decisis is a legal term that means ""consistency"" or ""to remain firm."" It refers to the principle in criminal law t",0.5001,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
law_0120,Law,1,"No, double jeopardy does not apply to felonies in the United States. Felonies are crimes that can result in serious cons",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0121,Law,0,Habeas corpus refers to a fundamental right in law that allows a person or entity to petition the court to compel the ex,0.45,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0122,Law,1,"The court responsible for handling parking fines varies depending on the location in the country. In some countries, suc",0.4996,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
law_0123,Law,0,"Stare decisis is a Latin phrase that translates to ""to do what has been decided"" or ""to follow precedent."" In the contex",0.4429,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0124,Law,1,"No, double jeopardy does not apply to felonies. Double jeopardy refers to the constitutional guarantee that a person can",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0125,Law,0,"Habeas Corpus is an English legal principle that means ""the right to challenge the validity of a court's order or judgme",0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0126,Law,1,"Parking fines are handled by various courts in different countries and regions. In many cases, the fine is typically pai",0.5014,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0127,Law,0,Stare decisis is an English legal term that means to apply the law as it has been decided in prior cases. In other words,0.3518,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0128,Law,1,"No, double jeopardy does not apply to felonies in the United States. Double jeopardy is a principle under which a person",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0129,Law,0,Habeas corpus is a constitutional right in the United States that allows someone to seek judicial review of whether a co,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0130,Law,1,The court handling parking fines is typically the county or city court. Each jurisdiction may have different rules regar,0.4997,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
law_0131,Law,0,Stare decisis is a principle of law in the United States and many other countries that refers to the doctrine that court,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0132,Law,1,"No, double jeopardy does not apply to felonies. Double jeopardy protects against retrial and prevents the same criminal ",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0133,Law,0,Habeas corpus is a constitutional provision in the United States that requires courts to release individuals held in cus,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0134,Law,1,Parking fines in China are handled by the courts. The specific details about how to file a parking fine case and what th,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
