sample_id,domain,ground_truth,phase6_char_count,phase7_char_count,phase6_token_count,phase7_token_count,phase6_sentence_count,phase7_sentence_count,phase6_claim_count,phase7_claim_count,phase6_lexical_diversity,phase7_lexical_diversity,phase7_model,phase7_temperature,phase7_generation_count
med_0077,Medicine,0,58,915,8,146,2,9,1,6,1.0,0.5274,qwen2.5-coder:1.5b,0.7,3
med_0078,Medicine,1,53,386,7,56,2,5,1,2,1.0,0.8214,qwen2.5-coder:1.5b,0.7,3
med_0079,Medicine,0,59,300,8,48,2,4,1,1,1.0,0.8333,qwen2.5-coder:1.5b,0.7,3
med_0080,Medicine,1,56,1696,9,257,2,21,1,15,1.0,0.6654,qwen2.5-coder:1.5b,0.7,3
med_0081,Medicine,0,58,1499,8,224,2,18,1,4,1.0,0.6071,qwen2.5-coder:1.5b,0.7,3
med_0082,Medicine,1,53,457,7,67,2,5,1,5,1.0,0.7463,qwen2.5-coder:1.5b,0.7,3
med_0083,Medicine,0,59,374,8,57,2,4,1,3,1.0,0.8421,qwen2.5-coder:1.5b,0.7,3
med_0084,Medicine,1,56,1547,9,238,2,21,1,6,1.0,0.6429,qwen2.5-coder:1.5b,0.7,3
med_0085,Medicine,0,58,2072,8,312,2,21,1,13,1.0,0.4038,qwen2.5-coder:1.5b,0.7,3
med_0086,Medicine,1,53,110,7,14,2,3,1,1,1.0,0.9286,qwen2.5-coder:1.5b,0.7,3
med_0087,Medicine,0,59,523,8,75,2,6,1,4,1.0,0.8,qwen2.5-coder:1.5b,0.7,3
med_0088,Medicine,1,56,1826,9,297,2,24,1,12,1.0,0.6263,qwen2.5-coder:1.5b,0.7,3
med_0089,Medicine,0,58,1079,8,173,2,12,1,5,1.0,0.6012,qwen2.5-coder:1.5b,0.7,3
med_0090,Medicine,1,53,371,7,62,2,4,1,4,1.0,0.7419,qwen2.5-coder:1.5b,0.7,3
med_0091,Medicine,0,59,358,8,58,2,4,1,2,1.0,0.7759,qwen2.5-coder:1.5b,0.7,3
med_0092,Medicine,1,56,1426,9,219,2,19,1,8,1.0,0.6895,qwen2.5-coder:1.5b,0.7,3
med_0093,Medicine,0,58,1101,8,171,2,16,1,6,1.0,0.5439,qwen2.5-coder:1.5b,0.7,3
med_0094,Medicine,1,53,868,7,127,2,7,1,11,1.0,0.748,qwen2.5-coder:1.5b,0.7,3
med_0095,Medicine,0,59,385,8,62,2,5,1,4,1.0,0.7903,qwen2.5-coder:1.5b,0.7,3
med_0096,Medicine,1,56,2069,9,305,2,27,1,10,1.0,0.659,qwen2.5-coder:1.5b,0.7,3
med_0097,Medicine,0,58,1275,8,198,2,17,1,7,1.0,0.6212,qwen2.5-coder:1.5b,0.7,3
med_0098,Medicine,1,53,368,7,54,2,5,1,3,1.0,0.8333,qwen2.5-coder:1.5b,0.7,3
med_0099,Medicine,0,59,358,8,50,2,4,1,2,1.0,0.82,qwen2.5-coder:1.5b,0.7,3
med_0100,Medicine,1,56,2480,9,357,2,26,1,11,1.0,0.6471,qwen2.5-coder:1.5b,0.7,3
law_0101,Law,0,70,852,11,134,2,6,1,4,1.0,0.6791,qwen2.5-coder:1.5b,0.7,3
law_0102,Law,1,61,64,9,11,2,2,1,1,1.0,0.9091,qwen2.5-coder:1.5b,0.7,3
law_0103,Law,0,63,496,9,80,2,5,1,2,1.0,0.775,qwen2.5-coder:1.5b,0.7,3
law_0104,Law,1,72,505,10,83,2,5,1,3,1.0,0.8313,qwen2.5-coder:1.5b,0.7,3
law_0105,Law,0,70,960,11,155,2,7,1,9,1.0,0.6645,qwen2.5-coder:1.5b,0.7,3
law_0106,Law,1,61,459,9,68,2,5,1,2,1.0,0.7941,qwen2.5-coder:1.5b,0.7,3
law_0107,Law,0,63,1249,9,203,2,9,1,11,1.0,0.6305,qwen2.5-coder:1.5b,0.7,3
law_0108,Law,1,72,991,10,155,2,7,1,6,1.0,0.7032,qwen2.5-coder:1.5b,0.7,3
law_0109,Law,0,70,1007,11,175,2,6,1,6,1.0,0.5714,qwen2.5-coder:1.5b,0.7,3
law_0110,Law,1,61,194,9,32,2,3,1,1,1.0,0.8438,qwen2.5-coder:1.5b,0.7,3
law_0111,Law,0,63,1727,9,263,2,15,1,11,1.0,0.6502,qwen2.5-coder:1.5b,0.7,3
law_0112,Law,1,72,443,10,74,2,5,1,4,1.0,0.7162,qwen2.5-coder:1.5b,0.7,3
law_0113,Law,0,70,1103,11,174,2,8,1,8,1.0,0.6667,qwen2.5-coder:1.5b,0.7,3
law_0114,Law,1,61,685,9,114,2,14,1,4,1.0,0.7281,qwen2.5-coder:1.5b,0.7,3
law_0115,Law,0,63,518,9,94,2,4,1,3,1.0,0.734,qwen2.5-coder:1.5b,0.7,3
law_0116,Law,1,72,451,10,74,2,5,1,2,1.0,0.7838,qwen2.5-coder:1.5b,0.7,3
law_0117,Law,0,70,379,11,65,2,3,1,3,1.0,0.7385,qwen2.5-coder:1.5b,0.7,3
law_0118,Law,1,61,441,9,66,2,4,1,3,1.0,0.7576,qwen2.5-coder:1.5b,0.7,3
law_0119,Law,0,63,463,9,80,2,5,1,3,1.0,0.675,qwen2.5-coder:1.5b,0.7,3
law_0120,Law,1,72,718,10,115,2,6,1,5,1.0,0.7304,qwen2.5-coder:1.5b,0.7,3
law_0121,Law,0,70,529,11,89,2,4,1,4,1.0,0.6854,qwen2.5-coder:1.5b,0.7,3
law_0122,Law,1,61,606,9,96,2,6,1,5,1.0,0.625,qwen2.5-coder:1.5b,0.7,3
law_0123,Law,0,63,755,9,120,2,7,1,6,1.0,0.725,qwen2.5-coder:1.5b,0.7,3
law_0124,Law,1,72,540,10,89,2,5,1,4,1.0,0.7865,qwen2.5-coder:1.5b,0.7,3
law_0125,Law,0,70,979,11,158,2,7,1,6,1.0,0.6266,qwen2.5-coder:1.5b,0.7,3
law_0126,Law,1,61,501,9,84,2,5,1,4,1.0,0.7619,qwen2.5-coder:1.5b,0.7,3
law_0127,Law,0,63,824,9,139,2,7,1,7,1.0,0.6835,qwen2.5-coder:1.5b,0.7,3
law_0128,Law,1,72,325,10,55,2,4,1,2,1.0,0.7818,qwen2.5-coder:1.5b,0.7,3
law_0129,Law,0,70,1593,11,259,2,12,1,12,1.0,0.5521,qwen2.5-coder:1.5b,0.7,3
law_0130,Law,1,61,255,9,39,2,4,1,1,1.0,0.8462,qwen2.5-coder:1.5b,0.7,3
law_0131,Law,0,63,937,9,150,2,7,1,7,1.0,0.6667,qwen2.5-coder:1.5b,0.7,3
law_0132,Law,1,72,428,10,68,2,5,1,4,1.0,0.75,qwen2.5-coder:1.5b,0.7,3
law_0133,Law,0,70,614,11,97,2,4,1,1,1.0,0.7835,qwen2.5-coder:1.5b,0.7,3
law_0134,Law,1,61,303,9,53,2,4,1,1,1.0,0.8302,qwen2.5-coder:1.5b,0.7,3
law_0135,Law,0,63,1025,9,172,2,6,1,8,1.0,0.6221,qwen2.5-coder:1.5b,0.7,3
law_0136,Law,1,72,1229,10,199,2,9,1,9,1.0,0.5628,qwen2.5-coder:1.5b,0.7,3
law_0137,Law,0,70,724,11,119,2,5,1,6,1.0,0.7311,qwen2.5-coder:1.5b,0.7,3
law_0138,Law,1,61,1248,9,179,2,14,1,6,1.0,0.6257,qwen2.5-coder:1.5b,0.7,3
law_0139,Law,0,63,899,9,139,2,8,1,6,1.0,0.6547,qwen2.5-coder:1.5b,0.7,3
law_0140,Law,1,72,255,10,40,2,4,1,1,1.0,0.825,qwen2.5-coder:1.5b,0.7,3
law_0141,Law,0,70,335,11,59,2,4,1,2,1.0,0.8136,qwen2.5-coder:1.5b,0.7,3
law_0142,Law,1,61,262,9,42,2,3,1,2,1.0,0.8095,qwen2.5-coder:1.5b,0.7,3
law_0143,Law,0,63,979,9,159,2,7,1,6,1.0,0.6604,qwen2.5-coder:1.5b,0.7,3
law_0144,Law,1,72,883,10,131,2,7,1,8,1.0,0.7252,qwen2.5-coder:1.5b,0.7,3
law_0145,Law,0,70,1310,11,222,2,9,1,7,1.0,0.5901,qwen2.5-coder:1.5b,0.7,3
law_0146,Law,1,61,446,9,68,2,4,1,5,1.0,0.8088,qwen2.5-coder:1.5b,0.7,3
law_0147,Law,0,63,1412,9,214,2,9,1,8,1.0,0.5607,qwen2.5-coder:1.5b,0.7,3
law_0148,Law,1,72,374,10,64,2,4,1,2,1.0,0.7812,qwen2.5-coder:1.5b,0.7,3
law_0149,Law,0,70,393,11,62,2,4,1,2,1.0,0.7742,qwen2.5-coder:1.5b,0.7,3
law_0150,Law,1,61,227,9,36,2,3,1,2,1.0,0.9167,qwen2.5-coder:1.5b,0.7,3
fin_0151,Finance,0,56,518,8,85,2,5,1,3,1.0,0.7176,qwen2.5-coder:1.5b,0.7,3
fin_0152,Finance,1,70,2055,9,276,2,22,1,16,1.0,0.6739,qwen2.5-coder:1.5b,0.7,3
fin_0153,Finance,0,52,1840,5,259,2,21,1,9,1.0,0.6448,qwen2.5-coder:1.5b,0.7,3
fin_0154,Finance,1,59,1635,7,244,2,19,1,12,1.0,0.6189,qwen2.5-coder:1.5b,0.7,3
fin_0155,Finance,0,56,386,8,67,2,4,1,2,1.0,0.7463,qwen2.5-coder:1.5b,0.7,3
fin_0156,Finance,1,70,633,9,100,2,5,1,5,1.0,0.72,qwen2.5-coder:1.5b,0.7,3
fin_0157,Finance,0,52,2187,5,316,2,24,1,11,1.0,0.5918,qwen2.5-coder:1.5b,0.7,3
fin_0158,Finance,1,59,1886,7,284,2,18,1,11,1.0,0.5599,qwen2.5-coder:1.5b,0.7,3
fin_0159,Finance,0,56,335,8,57,2,4,1,2,1.0,0.8246,qwen2.5-coder:1.5b,0.7,3
fin_0160,Finance,1,70,296,9,48,2,5,1,4,1.0,0.8333,qwen2.5-coder:1.5b,0.7,3
fin_0161,Finance,0,52,1339,5,204,2,15,1,9,1.0,0.5784,qwen2.5-coder:1.5b,0.7,3
fin_0162,Finance,1,59,2401,7,360,2,27,1,14,1.0,0.5472,qwen2.5-coder:1.5b,0.7,3
fin_0163,Finance,0,56,391,8,63,2,4,1,4,1.0,0.746,qwen2.5-coder:1.5b,0.7,3
fin_0164,Finance,1,70,874,9,128,2,8,1,8,1.0,0.7578,qwen2.5-coder:1.5b,0.7,3
fin_0165,Finance,0,52,1623,5,226,2,17,1,9,1.0,0.6681,qwen2.5-coder:1.5b,0.7,3
fin_0166,Finance,1,59,2839,7,433,2,25,1,11,1.0,0.515,qwen2.5-coder:1.5b,0.7,3
fin_0167,Finance,0,56,561,8,98,2,5,1,4,1.0,0.6837,qwen2.5-coder:1.5b,0.7,3
fin_0168,Finance,1,70,1276,9,194,2,7,1,7,1.0,0.6443,qwen2.5-coder:1.5b,0.7,3
fin_0169,Finance,0,52,2094,5,303,2,24,1,11,1.0,0.6403,qwen2.5-coder:1.5b,0.7,3
fin_0170,Finance,1,59,603,7,89,2,6,1,5,1.0,0.7753,qwen2.5-coder:1.5b,0.7,3
fin_0171,Finance,0,56,1228,8,212,2,14,1,9,1.0,0.5802,qwen2.5-coder:1.5b,0.7,3
fin_0172,Finance,1,70,1566,9,229,2,17,1,10,1.0,0.6463,qwen2.5-coder:1.5b,0.7,3
fin_0173,Finance,0,52,1637,5,233,2,17,1,9,1.0,0.6266,qwen2.5-coder:1.5b,0.7,3
fin_0174,Finance,1,59,577,7,84,2,6,1,4,1.0,0.7857,qwen2.5-coder:1.5b,0.7,3
fin_0175,Finance,0,56,1582,8,259,2,11,1,18,1.0,0.4903,qwen2.5-coder:1.5b,0.7,3
fin_0176,Finance,1,70,412,9,58,2,5,1,4,1.0,0.8793,qwen2.5-coder:1.5b,0.7,3
fin_0177,Finance,0,52,1985,5,276,2,19,1,9,1.0,0.6486,qwen2.5-coder:1.5b,0.7,3
fin_0178,Finance,1,59,332,7,49,2,3,1,2,1.0,0.8163,qwen2.5-coder:1.5b,0.7,3
fin_0179,Finance,0,56,330,8,60,2,4,1,2,1.0,0.85,qwen2.5-coder:1.5b,0.7,3
fin_0180,Finance,1,70,449,9,67,2,4,1,5,1.0,0.8209,qwen2.5-coder:1.5b,0.7,3
fin_0181,Finance,0,52,2332,5,327,2,24,1,16,1.0,0.5657,qwen2.5-coder:1.5b,0.7,3
fin_0182,Finance,1,59,2297,7,334,2,23,1,13,1.0,0.5629,qwen2.5-coder:1.5b,0.7,3
fin_0183,Finance,0,56,1279,8,210,2,15,1,8,1.0,0.5095,qwen2.5-coder:1.5b,0.7,3
fin_0184,Finance,1,70,1239,9,185,2,14,1,6,1.0,0.7081,qwen2.5-coder:1.5b,0.7,3
fin_0185,Finance,0,52,1439,5,210,2,16,1,9,1.0,0.6,qwen2.5-coder:1.5b,0.7,3
fin_0186,Finance,1,59,1910,7,294,2,19,1,9,1.0,0.5714,qwen2.5-coder:1.5b,0.7,3
fin_0187,Finance,0,56,376,8,68,2,4,1,2,1.0,0.7206,qwen2.5-coder:1.5b,0.7,3
fin_0188,Finance,1,70,905,9,131,2,7,1,9,1.0,0.7176,qwen2.5-coder:1.5b,0.7,3
fin_0189,Finance,0,52,1504,5,224,2,18,1,12,1.0,0.6161,qwen2.5-coder:1.5b,0.7,3
fin_0190,Finance,1,59,1551,7,251,2,11,1,15,1.0,0.5578,qwen2.5-coder:1.5b,0.7,3
fin_0191,Finance,0,56,442,8,72,2,4,1,2,1.0,0.7639,qwen2.5-coder:1.5b,0.7,3
fin_0192,Finance,1,70,1993,9,294,2,21,1,14,1.0,0.6599,qwen2.5-coder:1.5b,0.7,3
fin_0193,Finance,0,52,2110,5,302,2,23,1,9,1.0,0.6556,qwen2.5-coder:1.5b,0.7,3
fin_0194,Finance,1,59,2428,7,366,2,24,1,19,1.0,0.5656,qwen2.5-coder:1.5b,0.7,3
fin_0195,Finance,0,56,450,8,78,2,4,1,4,1.0,0.6923,qwen2.5-coder:1.5b,0.7,3
fin_0196,Finance,1,70,1042,9,159,2,13,1,9,1.0,0.6981,qwen2.5-coder:1.5b,0.7,3
fin_0197,Finance,0,52,2462,5,369,2,27,1,15,1.0,0.5799,qwen2.5-coder:1.5b,0.7,3
fin_0198,Finance,1,59,294,7,44,2,4,1,4,1.0,0.8636,qwen2.5-coder:1.5b,0.7,3
fin_0199,Finance,0,56,449,8,77,2,5,1,2,1.0,0.7273,qwen2.5-coder:1.5b,0.7,3
fin_0200,Finance,1,70,213,9,37,2,3,1,2,1.0,0.8649,qwen2.5-coder:1.5b,0.7,3
his_0201,History,0,27,40,6,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0202,History,1,54,48,9,9,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0203,History,0,35,85,7,16,2,2,1,1,1.0,0.9375,qwen2.5-coder:1.5b,0.7,3
his_0204,History,1,59,45,10,7,2,2,1,1,0.9,1.0,qwen2.5-coder:1.5b,0.7,3
his_0205,History,0,27,69,6,14,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0206,History,1,54,726,9,123,2,6,1,7,1.0,0.6504,qwen2.5-coder:1.5b,0.7,3
his_0207,History,0,35,81,7,15,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0208,History,1,59,77,10,14,2,5,1,1,0.9,1.0,qwen2.5-coder:1.5b,0.7,3
his_0209,History,0,27,182,6,34,2,2,1,1,1.0,0.7941,qwen2.5-coder:1.5b,0.7,3
his_0210,History,1,54,40,9,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0211,History,0,35,221,7,34,2,3,1,1,1.0,0.8824,qwen2.5-coder:1.5b,0.7,3
his_0212,History,1,59,60,10,9,2,4,1,1,0.9,1.0,qwen2.5-coder:1.5b,0.7,3
his_0213,History,0,27,40,6,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0214,History,1,54,188,9,30,2,4,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0215,History,0,35,191,7,33,2,3,1,2,1.0,0.8788,qwen2.5-coder:1.5b,0.7,3
his_0216,History,1,59,47,10,8,2,4,1,1,0.9,1.0,qwen2.5-coder:1.5b,0.7,3
his_0217,History,0,27,40,6,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0218,History,1,54,382,9,62,2,4,1,2,1.0,0.7419,qwen2.5-coder:1.5b,0.7,3
his_0219,History,0,35,48,7,9,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0220,History,1,59,227,10,36,2,3,1,2,0.9,0.8333,qwen2.5-coder:1.5b,0.7,3
his_0221,History,0,27,40,6,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0222,History,1,54,286,9,48,2,4,1,1,1.0,0.7708,qwen2.5-coder:1.5b,0.7,3
his_0223,History,0,35,56,7,11,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0224,History,1,59,134,10,25,2,5,1,2,0.9,0.92,qwen2.5-coder:1.5b,0.7,3
his_0225,History,0,27,277,6,47,2,3,1,2,1.0,0.8511,qwen2.5-coder:1.5b,0.7,3
his_0226,History,1,54,203,9,34,2,3,1,1,1.0,0.9118,qwen2.5-coder:1.5b,0.7,3
his_0227,History,0,35,72,7,13,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0228,History,1,59,45,10,7,2,2,1,1,0.9,1.0,qwen2.5-coder:1.5b,0.7,3
his_0229,History,0,27,50,6,10,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0230,History,1,54,841,9,136,2,8,1,7,1.0,0.6324,qwen2.5-coder:1.5b,0.7,3
his_0231,History,0,35,204,7,36,2,3,1,1,1.0,0.8333,qwen2.5-coder:1.5b,0.7,3
his_0232,History,1,59,55,10,8,2,2,1,1,0.9,1.0,qwen2.5-coder:1.5b,0.7,3
his_0233,History,0,27,40,6,8,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0234,History,1,54,317,9,51,2,3,1,2,1.0,0.7255,qwen2.5-coder:1.5b,0.7,3
his_0235,History,0,35,57,7,10,2,2,1,1,1.0,1.0,qwen2.5-coder:1.5b,0.7,3
his_0236,History,1,59,45,10,7,2,2,1,1,0.9,1.0,qwen2.5-coder:1.5b,0.7,3
his_0237,History,0,27,321,6,54,2,3,1,1,1.0,0.7593,qwen2.5-coder:1.5b,0.7,3
his_0238,History,1,54,227,9,37,2,3,1,2,1.0,0.9189,qwen2.5-coder:1.5b,0.7,3
