sample_id,domain,category,difficulty,claim,ground_truth,ground_truth_label,source_url,provenance,baseline_score,baseline_pred,baseline_correct,baseline_latency_ms,enhanced_score,enhanced_pred,enhanced_correct,enhanced_latency_ms,num_propositions,enhancements_triggered,score_delta,prediction_changed,correctness_changed,transition_class
8A_PHY_NEG_0016,Physics,NEGATION,easy,The speed of light is not constant in a vacuum.,1,hallucinated,https://en.wikipedia.org/wiki/Speed_of_light,"The speed of light is constant in a vacuum (c = 299,792,458 m/s exactly). Claim negates this.",0.5,1,True,1696.94,0.994,1,True,2572.8,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.494,False,False,A_STABLE_CORRECT
8A_PHY_NEG_0017,Physics,NEGATION,easy,Photons do not have zero rest mass.,1,hallucinated,https://en.wikipedia.org/wiki/Photon,Photons have zero rest mass. The claim negates this established fact.,0.5,1,True,1438.66,1.0,1,True,1351.78,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.5,False,False,A_STABLE_CORRECT
8A_PHY_NEG_0018,Physics,NEGATION,medium,The gravitational force between two masses does not depend on the distance between them.,1,hallucinated,https://en.wikipedia.org/wiki/Newton%27s_law_of_universal_gravitation,Gravitational force is inversely proportional to the square of distance. The negation is false.,0.5,1,True,1878.4,0.989,1,True,1975.54,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.489,False,False,A_STABLE_CORRECT
8A_PHY_NEG_0019,Physics,NEGATION,easy,Electrons do not carry a negative electric charge.,1,hallucinated,https://en.wikipedia.org/wiki/Electron,Electrons carry a negative charge of −1.602×10⁻¹⁹ C. Claim is false.,0.5,1,True,1628.47,0.85,1,True,2124.4,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.35,False,False,A_STABLE_CORRECT
8A_PHY_NEG_0020,Physics,NEGATION,easy,An object at rest does not tend to stay at rest unless acted upon by a net force.,1,hallucinated,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion,Newton's first law states objects at rest stay at rest unless acted upon. Negation is false.,0.5,1,True,1891.8,0.85,1,True,1486.94,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.35,False,False,A_STABLE_CORRECT
8A_PHY_CAU_0021,Physics,CAUSAL_INVERSION,medium,An increase in temperature causes a decrease in the thermal energy of an ideal gas.,1,hallucinated,https://en.wikipedia.org/wiki/Kinetic_theory_of_gases,"Temperature increase causes INCREASE, not decrease, in thermal energy. Causal direction reversed.",0.5,1,True,1794.84,1.0,1,True,1923.57,1,[],0.5,False,False,A_STABLE_CORRECT
8A_PHY_CAU_0022,Physics,CAUSAL_INVERSION,medium,Higher frequency electromagnetic radiation results in lower photon energy.,1,hallucinated,https://en.wikipedia.org/wiki/Photon_energy,E=hf: higher frequency → higher energy. Claim reverses the causal direction.,0.5,1,True,1919.15,0.1125,0,False,1558.7,1,[],-0.3875,True,True,B_REGRESSION
8A_PHY_CAU_0023,Physics,CAUSAL_INVERSION,hard,Stronger magnetic fields cause slower charged particle precession in NMR.,1,hallucinated,https://en.wikipedia.org/wiki/Nuclear_magnetic_resonance,NMR precession frequency (Larmor) increases with field strength. Direction reversed.,0.5,1,True,2007.52,0.5012,1,True,1873.37,1,[],0.0012,False,False,A_STABLE_CORRECT
8A_PHY_CAU_0024,Physics,CAUSAL_INVERSION,easy,Increasing electrical resistance in a circuit causes current to increase when voltage is constant.,1,hallucinated,https://en.wikipedia.org/wiki/Ohm%27s_law,I=V/R: more resistance → less current. Claim inverts Ohm's law.,0.5,1,True,1624.95,0.5162,1,True,1623.52,1,[],0.0162,False,False,A_STABLE_CORRECT
8A_PHY_CAU_0025,Physics,CAUSAL_INVERSION,medium,Compressing a gas adiabatically causes its temperature to decrease.,1,hallucinated,https://en.wikipedia.org/wiki/Adiabatic_process,Adiabatic compression raises temperature. Claim states the opposite.,0.5,1,True,1401.64,1.0,1,True,1729.95,1,[],0.5,False,False,A_STABLE_CORRECT
8A_PHY_OUT_0026,Physics,OUTDATED_SCIENTIFIC_CLAIM,easy,The atom is the smallest indivisible unit of matter.,1,hallucinated,https://en.wikipedia.org/wiki/Atom,"Atoms are divisible into protons, neutrons, and electrons; these into quarks. Outdated 19th-century claim.",0.5,1,True,2016.94,0.2339,0,False,1592.42,1,[],-0.2661,True,True,B_REGRESSION
8A_PHY_OUT_0027,Physics,OUTDATED_SCIENTIFIC_CLAIM,easy,The luminiferous ether is the medium through which light propagates.,1,hallucinated,https://en.wikipedia.org/wiki/Luminiferous_aether,Ether concept was experimentally disproved by Michelson-Morley (1887) and superseded by special relativity.,0.5,1,True,1721.37,0.1214,0,False,1698.2,1,[],-0.3786,True,True,B_REGRESSION
8A_PHY_OUT_0028,Physics,OUTDATED_SCIENTIFIC_CLAIM,medium,Newtonian mechanics provides a complete description of motion at all speeds and scales.,1,hallucinated,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion,Superseded by special relativity at high speeds and quantum mechanics at small scales.,0.5,1,True,1876.89,0.5065,1,True,1980.12,1,[],0.0065,False,False,A_STABLE_CORRECT
8A_PHY_OUT_0029,Physics,OUTDATED_SCIENTIFIC_CLAIM,medium,The universe exists in a steady state with no beginning or end.,1,hallucinated,https://en.wikipedia.org/wiki/Steady-state_model,Steady state theory replaced by Big Bang cosmology following CMB discovery (1965).,0.5,1,True,1477.37,0.85,1,True,1845.81,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'no' while evidence affirms the predicate.""]",0.35,False,False,A_STABLE_CORRECT
8A_PHY_OUT_0030,Physics,OUTDATED_SCIENTIFIC_CLAIM,easy,Heat is a fluid substance called caloric that flows from hot to cold objects.,1,hallucinated,https://en.wikipedia.org/wiki/Caloric_theory,Caloric theory disproved by Rumford (1798) and Joule (1843); heat is energy transfer.,0.5,1,True,2162.83,0.0082,0,False,1558.05,1,[],-0.4918,True,True,B_REGRESSION
8A_PHY_TRU_0031,Physics,TRUE_CORE_FALSE_ELABORATION,medium,"The photoelectric effect, discovered by Albert Einstein in 1905, shows that electrons are emitted from metal surfaces when exposed to UV light of any frequency.",1,hallucinated,https://en.wikipedia.org/wiki/Photoelectric_effect,"Core true: Einstein explained photoelectric effect (1905). Fabrication: requires frequency ABOVE a threshold, not any frequency.",0.5,1,True,2421.21,0.5001,1,True,2419.84,1,[],0.0001,False,False,A_STABLE_CORRECT
8A_PHY_TRU_0032,Physics,TRUE_CORE_FALSE_ELABORATION,hard,"Special relativity, formulated by Einstein in 1905, predicts that mass increases with velocity and that objects can exceed the speed of light with sufficient energy.",1,hallucinated,https://en.wikipedia.org/wiki/Special_relativity,"Core true: SR formulated 1905. Fabrication: objects with mass cannot reach, let alone exceed, c.",0.5,1,True,2853.64,0.4995,0,False,2496.57,1,[],-0.0005,True,True,B_REGRESSION
8A_PHY_TRU_0033,Physics,TRUE_CORE_FALSE_ELABORATION,hard,"Superconductivity, observed in some materials below a critical temperature, allows electrical resistance to become exactly zero and also increases magnetic permeability.",1,hallucinated,https://en.wikipedia.org/wiki/Superconductivity,"Core true: zero resistance below Tc. Fabrication: superconductors EXPEL magnetic fields (Meissner effect), not increase permeability.",0.5,1,True,2201.15,0.54,1,True,1791.29,1,[],0.04,False,False,A_STABLE_CORRECT
8A_PHY_TRU_0034,Physics,TRUE_CORE_FALSE_ELABORATION,medium,"Black holes, regions of spacetime where gravity prevents even light from escaping, were first observed directly by the Hubble Space Telescope in 1995.",1,hallucinated,https://en.wikipedia.org/wiki/Black_hole,"Core true: black holes prevent light escape. Fabrication: first image by Event Horizon Telescope in 2019, not Hubble in 1995.",0.5,1,True,2221.78,0.9,1,True,1601.84,1,[],0.4,False,False,A_STABLE_CORRECT
8A_PHY_TRU_0035,Physics,TRUE_CORE_FALSE_ELABORATION,medium,"Nuclear fission, the process of splitting heavy nuclei to release energy, was first demonstrated by Marie Curie in 1934.",1,hallucinated,https://en.wikipedia.org/wiki/Nuclear_fission,"Core true: fission releases energy. Fabrication: first demonstrated by Hahn, Strassmann, Meitner, Frisch in 1938–1939, not Curie.",0.5,1,True,2069.03,0.3991,0,False,2320.82,1,[],-0.1009,True,True,B_REGRESSION
8A_CHE_TRU_0036,Chemistry,TRUE_CONTROL,easy,Water has a molecular formula of H₂O and a molar mass of approximately 18 g/mol.,0,factual,https://en.wikipedia.org/wiki/Water,"H₂O, molar mass 18.015 g/mol. Factual.",0.5,1,False,1588.59,0.1333,0,True,1782.09,1,[],-0.3667,True,True,C_RECOVERY
8A_CHE_TRU_0037,Chemistry,TRUE_CONTROL,easy,The pH of a neutral aqueous solution at 25°C is 7.0.,0,factual,https://en.wikipedia.org/wiki/PH,"At 25°C, pure water has pH=7.00. Factual.",0.5,1,False,2217.74,0.1333,0,True,1800.55,1,[],-0.3667,True,True,C_RECOVERY
8A_CHE_TRU_0038,Chemistry,TRUE_CONTROL,easy,Carbon-12 is the most abundant stable isotope of carbon.,0,factual,https://en.wikipedia.org/wiki/Carbon-12,¹²C constitutes ~98.9% of natural carbon. Factual.,0.5,1,False,1548.44,0.05,0,True,2057.03,1,[],-0.45,True,True,C_RECOVERY
8A_CHE_TRU_0039,Chemistry,TRUE_CONTROL,easy,The Avogadro constant is approximately 6.022×10²³ per mole.,0,factual,https://physics.nist.gov/cgi-bin/cuu/Value?na,Exact: 6.02214076×10²³ mol⁻¹. Factual.,0.5,1,False,1774.32,0.0228,0,True,2317.41,1,[],-0.4772,True,True,C_RECOVERY
8A_CHE_TRU_0040,Chemistry,TRUE_CONTROL,easy,Sodium chloride (NaCl) dissociates completely into Na⁺ and Cl⁻ ions when dissolved in water.,0,factual,https://en.wikipedia.org/wiki/Sodium_chloride,NaCl is a strong electrolyte that fully dissociates in aqueous solution. Factual.,0.5,1,False,1390.3,1.0,1,False,2053.43,1,[],0.5,False,False,D_STABLE_WRONG
8A_CHE_NUM_0041,Chemistry,NUMERICAL_PRECISION,easy,Water has a molar mass of approximately 36 g/mol.,1,hallucinated,https://en.wikipedia.org/wiki/Water,Correct molar mass is ~18 g/mol (2×1 + 16). Claim doubles the value.,0.5,1,True,1586.49,1.0,1,True,2142.51,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_NUM_0042,Chemistry,NUMERICAL_PRECISION,medium,The Avogadro constant is approximately 6.022×10²⁰ per mole.,1,hallucinated,https://physics.nist.gov/cgi-bin/cuu/Value?na,Correct value is 6.022×10²³. Claim is wrong by three orders of magnitude.,0.5,1,True,1474.59,0.2927,0,False,2037.24,1,[],-0.2073,True,True,B_REGRESSION
8A_CHE_NUM_0043,Chemistry,NUMERICAL_PRECISION,easy,The boiling point of water at standard pressure is 212°C.,1,hallucinated,https://en.wikipedia.org/wiki/Boiling_point,Water boils at 100°C (212°F). Claim confuses Fahrenheit with Celsius.,0.5,1,True,1856.38,0.05,0,False,1625.19,1,[],-0.45,True,True,B_REGRESSION
8A_CHE_NUM_0044,Chemistry,NUMERICAL_PRECISION,easy,The atomic number of gold is 97.,1,hallucinated,https://en.wikipedia.org/wiki/Gold,"Gold (Au) has atomic number 79, not 97 (which is Berkelium).",0.5,1,True,1398.44,0.9951,1,True,1562.39,1,[],0.4951,False,False,A_STABLE_CORRECT
8A_CHE_NUM_0045,Chemistry,NUMERICAL_PRECISION,medium,Carbon dioxide has a molar mass of approximately 44 kg/mol.,1,hallucinated,https://en.wikipedia.org/wiki/Carbon_dioxide,"CO₂ molar mass is 44.01 g/mol, not kg/mol. Unit and magnitude both wrong.",0.5,1,True,1465.74,1.0,1,True,1323.1,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_UNI_0046,Chemistry,UNIT_SCALE,medium,The boiling point of water at standard pressure is 100 K.,1,hallucinated,https://en.wikipedia.org/wiki/Boiling_point,"Water boils at 100°C = 373.15 K. Claim states 100 K (−173°C), which is cryogenic.",0.5,1,True,1577.73,0.6152,1,True,1596.65,1,[],0.1152,False,False,A_STABLE_CORRECT
8A_CHE_UNI_0047,Chemistry,UNIT_SCALE,medium,Standard atomic weight of iron is approximately 55.8 kg/mol.,1,hallucinated,https://en.wikipedia.org/wiki/Iron,Iron molar mass is 55.845 g/mol. Claim gives kg/mol — a factor of 1000 error.,0.5,1,True,1483.43,1.0,1,True,1428.52,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_UNI_0048,Chemistry,UNIT_SCALE,easy,The concentration of a 1 M NaCl solution contains 1 gram of NaCl per litre.,1,hallucinated,https://en.wikipedia.org/wiki/Molar_concentration,"1 M NaCl = 58.44 g/L (1 mole NaCl), not 1 gram.",0.5,1,True,1618.17,1.0,1,True,1505.17,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_UNI_0049,Chemistry,UNIT_SCALE,easy,The density of water is approximately 1 kg/cm³.,1,hallucinated,https://en.wikipedia.org/wiki/Properties_of_water,Density is 1 g/cm³ = 1 kg/L = 1000 kg/m³. Claim is off by 10³.,0.5,1,True,1679.89,1.0,1,True,1623.79,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_UNI_0050,Chemistry,UNIT_SCALE,medium,Hydrochloric acid with a pH of 1 has a hydrogen ion concentration of 1 mM.,1,hallucinated,https://en.wikipedia.org/wiki/PH,"pH=1 means [H⁺]=0.1 mol/L = 100 mM, not 1 mM.",0.5,1,True,1721.1,1.0,1,True,2508.46,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_NEG_0051,Chemistry,NEGATION,easy,Acids do not donate protons to bases in Brønsted–Lowry acid-base theory.,1,hallucinated,https://en.wikipedia.org/wiki/Br%C3%B8nsted%E2%80%93Lowry_acid%E2%80%93base_theory,Brønsted–Lowry definition: acids ARE proton donors. Negation is false.,0.5,1,True,2527.87,0.9856,1,True,2071.14,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.4856,False,False,A_STABLE_CORRECT
8A_CHE_NEG_0052,Chemistry,NEGATION,easy,Covalent bonds are not formed by sharing electrons between atoms.,1,hallucinated,https://en.wikipedia.org/wiki/Covalent_bond,Covalent bonds ARE formed by electron sharing. Negation is false.,0.5,1,True,1588.51,0.9983,1,True,1582.68,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.4983,False,False,A_STABLE_CORRECT
8A_CHE_NEG_0053,Chemistry,NEGATION,easy,Oxidation does not involve the loss of electrons.,1,hallucinated,https://en.wikipedia.org/wiki/Redox,Oxidation is defined as electron loss (OIL RIG). Negation is false.,0.5,1,True,1809.68,0.9987,1,True,1496.08,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.4987,False,False,A_STABLE_CORRECT
8A_CHE_NEG_0054,Chemistry,NEGATION,easy,Noble gases do not have a complete outer electron shell.,1,hallucinated,https://en.wikipedia.org/wiki/Noble_gas,"Noble gases have complete valence shells, which is why they are chemically inert. Negation is false.",0.5,1,True,1366.01,1.0,1,True,1905.22,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.5,False,False,A_STABLE_CORRECT
8A_CHE_NEG_0055,Chemistry,NEGATION,easy,Exothermic reactions do not release heat to the surroundings.,1,hallucinated,https://en.wikipedia.org/wiki/Exothermic_process,Exothermic reactions by definition release heat. Negation is false.,0.5,1,True,1560.16,0.9994,1,True,2185.89,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'not' while evidence affirms the predicate.""]",0.4994,False,False,A_STABLE_CORRECT
8A_CHE_CAU_0056,Chemistry,CAUSAL_INVERSION,easy,Adding a catalyst to a reaction slows the forward reaction rate by increasing the activation energy.,1,hallucinated,https://en.wikipedia.org/wiki/Catalysis,Catalysts lower activation energy and speed reactions. Both causal direction and effect are inverted.,0.5,1,True,1575.48,1.0,1,True,1786.96,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_CAU_0057,Chemistry,CAUSAL_INVERSION,medium,Higher temperatures cause reaction rates to decrease because molecules have lower average kinetic energy.,1,hallucinated,https://en.wikipedia.org/wiki/Arrhenius_equation,Higher temperature increases kinetic energy and reaction rate. Causal direction fully reversed.,0.5,1,True,1563.66,1.0,1,True,1788.6,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_CAU_0058,Chemistry,CAUSAL_INVERSION,medium,"An increase in pressure causes gas solubility in liquids to decrease, according to Henry's law.",1,hallucinated,https://en.wikipedia.org/wiki/Henry%27s_law,Henry's law: higher pressure increases gas solubility. Direction reversed.,0.5,1,True,1879.71,0.4142,0,False,2056.64,1,[],-0.0858,True,True,B_REGRESSION
8A_CHE_CAU_0059,Chemistry,CAUSAL_INVERSION,hard,Increasing the concentration of reactants causes the equilibrium constant K to increase.,1,hallucinated,https://en.wikipedia.org/wiki/Chemical_equilibrium,"K is temperature-dependent, not concentration-dependent. Concentration changes shift equilibrium position.",0.5,1,True,1616.86,0.4989,0,False,1741.9,1,[],-0.0011,True,True,B_REGRESSION
8A_CHE_CAU_0060,Chemistry,CAUSAL_INVERSION,medium,Exothermic dissolution causes the solution temperature to decrease because heat is released.,1,hallucinated,https://en.wikipedia.org/wiki/Enthalpy_of_solution,"Exothermic dissolution releases heat INTO the solution, increasing temperature. Direction reversed.",0.5,1,True,2377.32,1.0,1,True,1989.91,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_OUT_0061,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,easy,Phlogiston is the substance released during combustion.,1,hallucinated,https://en.wikipedia.org/wiki/Phlogiston_theory,"Phlogiston theory disproved by Lavoisier (1770s), replaced by oxygen theory of combustion.",0.5,1,True,1602.17,0.8816,1,True,1557.86,1,[],0.3816,False,False,A_STABLE_CORRECT
8A_CHE_OUT_0062,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,easy,"Chemical elements cannot be interconverted and all matter is made of four elements: earth, water, fire, and air.",1,hallucinated,https://en.wikipedia.org/wiki/Classical_element,Classical four-element theory superseded by atomic theory. Elements can be interconverted via nuclear reactions.,0.5,1,True,2524.4,1.0,1,True,1964.85,1,"[""NEGATION_POLARITY: Polarity reversal: claim contains negation 'cannot' while evidence affirms the predicate.""]",0.5,False,False,A_STABLE_CORRECT
8A_CHE_OUT_0063,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,medium,Benzene is composed of alternating single and double bonds that are fixed in position.,1,hallucinated,https://en.wikipedia.org/wiki/Benzene,Kekulé's alternating bond model superseded by resonance/delocalization model (1930s–1950s).,0.5,1,True,1544.46,1.0,1,True,1937.77,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_OUT_0064,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,easy,"Atoms are indivisible solid spheres, as proposed by Dalton's atomic model.",1,hallucinated,https://en.wikipedia.org/wiki/Atomic_theory,"Dalton's solid sphere model superseded; atoms have substructure (Thomson, Rutherford, Bohr, QM).",0.5,1,True,5662.24,0.2748,0,False,1723.42,1,[],-0.2252,True,True,B_REGRESSION
8A_CHE_OUT_0065,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,medium,"Valence electrons are arranged in shells at fixed distances from the nucleus, as described by the Bohr model for multi-electron atoms.",1,hallucinated,https://en.wikipedia.org/wiki/Bohr_model,Bohr model accurate for H only. Multi-electron atoms require quantum mechanical orbital model.,0.5,1,True,1632.62,0.338,0,False,2301.34,1,[],-0.162,True,True,B_REGRESSION
8A_CHE_TRU_0066,Chemistry,TRUE_CORE_FALSE_ELABORATION,medium,The Haber process synthesises ammonia from nitrogen and hydrogen gas and requires a temperature of exactly 300°C to proceed.,1,hallucinated,https://en.wikipedia.org/wiki/Haber_process,"Core true: Haber process makes NH₃ from N₂ + H₂. Fabrication: typical operating temperature is 400–500°C, not 300°C.",0.5,1,True,1692.38,1.0,1,True,1692.3,1,[],0.5,False,False,A_STABLE_CORRECT
8A_CHE_TRU_0067,Chemistry,TRUE_CORE_FALSE_ELABORATION,medium,"DNA is composed of nucleotides, each containing a phosphate group, a sugar, and one of four nitrogenous bases; the sugar in DNA is ribose.",1,hallucinated,https://en.wikipedia.org/wiki/DNA,Core true: nucleotide structure. Fabrication: DNA sugar is deoxyribose; ribose is in RNA.,0.5,1,True,2934.98,0.368,0,False,5746.15,2,[],-0.132,True,True,B_REGRESSION
8A_CHE_TRU_0068,Chemistry,TRUE_CORE_FALSE_ELABORATION,medium,Electroplating uses electrolysis to deposit a metal layer; the object to be plated is connected to the positive terminal of the power supply.,1,hallucinated,https://en.wikipedia.org/wiki/Electroplating,"Core true: electrolysis deposits metal. Fabrication: the object is the CATHODE (negative terminal), not anode.",0.5,1,True,2324.15,0.1885,0,False,3881.88,2,[],-0.3115,True,True,B_REGRESSION
8A_CHE_TRU_0069,Chemistry,TRUE_CORE_FALSE_ELABORATION,medium,Ozone (O₃) is formed in the stratosphere when UV radiation splits N₂ molecules.,1,hallucinated,https://en.wikipedia.org/wiki/Ozone_layer,Core true: UV creates ozone. Fabrication: UV splits O₂ (not N₂) molecules; atomic O then reacts with O₂ to form O₃.,0.5,1,True,1609.64,0.9551,1,True,2606.44,1,[],0.4551,False,False,A_STABLE_CORRECT
8A_CHE_TRU_0070,Chemistry,TRUE_CORE_FALSE_ELABORATION,medium,Aspirin is an analgesic that works by inhibiting cyclooxygenase enzymes; it was first synthesised by Louis Pasteur in 1897.,1,hallucinated,https://en.wikipedia.org/wiki/Aspirin,"Core true: COX inhibitor. Fabrication: synthesised by Felix Hoffmann (Bayer) in 1897, not Pasteur.",0.5,1,True,2399.33,1.0,1,True,5160.5,2,[],0.5,False,False,A_STABLE_CORRECT
8A_BIO_TRU_0071,Biology,TRUE_CONTROL,easy,Human DNA contains approximately 3 billion base pairs.,0,factual,https://en.wikipedia.org/wiki/Human_genome,Human haploid genome: ~3.2 billion bp. Factual.,0.5,1,False,1990.88,1.0,1,False,1517.5,1,[],0.5,False,False,D_STABLE_WRONG
