sample_id,domain,category,claim,ground_truth,baseline_score,enhanced_score,baseline_pred,enhanced_pred,transition_type,triggering_mechanism,enhancements_detected,failure_classification,scientific_interpretation
8A_PHY_TRU_0035,Physics,TRUE_CORE_FALSE_ELABORATION,"Nuclear fission, the process of splitting heavy nuclei to release energy, was first demonstrated by Marie Curie in 1934.",1,0.5,0.3991,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.40. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_TRU_0036,Chemistry,TRUE_CONTROL,Water has a molecular formula of H₂O and a molar mass of approximately 18 g/mol.,0,0.5,0.1333,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.13. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_TRU_0037,Chemistry,TRUE_CONTROL,The pH of a neutral aqueous solution at 25°C is 7.0.,0,0.5,0.1333,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.13. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_TRU_0038,Chemistry,TRUE_CONTROL,Carbon-12 is the most abundant stable isotope of carbon.,0,0.5,0.05,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.05. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_TRU_0039,Chemistry,TRUE_CONTROL,The Avogadro constant is approximately 6.022×10²³ per mole.,0,0.5,0.0228,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.02. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_NUM_0042,Chemistry,NUMERICAL_PRECISION,The Avogadro constant is approximately 6.022×10²⁰ per mole.,1,0.5,0.2927,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in NUMERICAL_PRECISION had Baseline score=0.50 and Enhanced score=0.29. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_NUM_0043,Chemistry,NUMERICAL_PRECISION,The boiling point of water at standard pressure is 212°C.,1,0.5,0.05,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in NUMERICAL_PRECISION had Baseline score=0.50 and Enhanced score=0.05. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_CAU_0058,Chemistry,CAUSAL_INVERSION,"An increase in pressure causes gas solubility in liquids to decrease, according to Henry's law.",1,0.5,0.4142,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in CAUSAL_INVERSION had Baseline score=0.50 and Enhanced score=0.41. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_CAU_0059,Chemistry,CAUSAL_INVERSION,Increasing the concentration of reactants causes the equilibrium constant K to increase.,1,0.5,0.4989,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in CAUSAL_INVERSION had Baseline score=0.50 and Enhanced score=0.50. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_OUT_0064,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,"Atoms are indivisible solid spheres, as proposed by Dalton's atomic model.",1,0.5,0.2748,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in OUTDATED_SCIENTIFIC_CLAIM had Baseline score=0.50 and Enhanced score=0.27. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_OUT_0065,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,"Valence electrons are arranged in shells at fixed distances from the nucleus, as described by the Bohr model for multi-electron atoms.",1,0.5,0.338,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in OUTDATED_SCIENTIFIC_CLAIM had Baseline score=0.50 and Enhanced score=0.34. Mechanism: NLI_SCORE_DIFFERENCE.
8A_CHE_TRU_0067,Chemistry,TRUE_CORE_FALSE_ELABORATION,"DNA is composed of nucleotides, each containing a phosphate group, a sugar, and one of four nitrogenous bases; the sugar in DNA is ribose.",1,0.5,0.368,1,0,BASELINE_CORRECT_ENHANCED_WRONG,claim_decomposition,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.37. Mechanism: claim_decomposition.
8A_CHE_TRU_0068,Chemistry,TRUE_CORE_FALSE_ELABORATION,Electroplating uses electrolysis to deposit a metal layer; the object to be plated is connected to the positive terminal of the power supply.,1,0.5,0.1885,1,0,BASELINE_CORRECT_ENHANCED_WRONG,claim_decomposition,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.19. Mechanism: claim_decomposition.
8A_BIO_TRU_0073,Biology,TRUE_CONTROL,DNA replication is semi-conservative: each daughter strand retains one original parental strand.,0,0.5,0.125,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.12. Mechanism: NLI_SCORE_DIFFERENCE.
8A_BIO_TRU_0074,Biology,TRUE_CONTROL,"The human body has 23 pairs of chromosomes, totalling 46.",0,0.5,0.1125,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.11. Mechanism: NLI_SCORE_DIFFERENCE.
8A_BIO_TRU_0075,Biology,TRUE_CONTROL,Photosynthesis in plants occurs in the chloroplast and converts CO₂ and water into glucose using light energy.,0,0.5,0.1636,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.16. Mechanism: NLI_SCORE_DIFFERENCE.
8A_BIO_CAU_0091,Biology,CAUSAL_INVERSION,mRNA is transcribed from a protein template during gene expression.,1,0.5,0.2192,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in CAUSAL_INVERSION had Baseline score=0.50 and Enhanced score=0.22. Mechanism: NLI_SCORE_DIFFERENCE.
8A_BIO_CAU_0092,Biology,CAUSAL_INVERSION,"Natural selection acts on genotype directly, causing changes in phenotype distribution.",1,0.5,0.2694,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in CAUSAL_INVERSION had Baseline score=0.50 and Enhanced score=0.27. Mechanism: NLI_SCORE_DIFFERENCE.
8A_BIO_CAU_0095,Biology,CAUSAL_INVERSION,Apoptosis is triggered by cell survival signals and prevents programmed cell death.,1,0.5,0.1611,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in CAUSAL_INVERSION had Baseline score=0.50 and Enhanced score=0.16. Mechanism: NLI_SCORE_DIFFERENCE.
8A_BIO_OUT_0096,Biology,OUTDATED_SCIENTIFIC_CLAIM,"Acquired characteristics are inherited by offspring, as proposed by Lamarck.",1,0.5,0.1438,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in OUTDATED_SCIENTIFIC_CLAIM had Baseline score=0.50 and Enhanced score=0.14. Mechanism: NLI_SCORE_DIFFERENCE.
8A_BIO_TRU_0101,Biology,TRUE_CORE_FALSE_ELABORATION,"The polymerase chain reaction (PCR), developed by Kary Mullis in 1983, amplifies DNA using RNA polymerase.",1,0.5,0.0917,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.09. Mechanism: NLI_SCORE_DIFFERENCE.
8A_BIO_TRU_0102,Biology,TRUE_CORE_FALSE_ELABORATION,"The double helix structure of DNA was proposed by Watson and Crick in 1953, based on X-ray data from their own laboratory.",1,0.5,0.1409,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.14. Mechanism: NLI_SCORE_DIFFERENCE.
8A_BIO_TRU_0105,Biology,TRUE_CORE_FALSE_ELABORATION,"Restriction enzymes, used in molecular cloning, cut DNA at random positions along the strand.",1,0.5,0.2699,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.27. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MED_TRU_0106,Medicine,TRUE_CONTROL,"Penicillin, the first widely used antibiotic, was discovered by Alexander Fleming in 1928.",0,0.5,0.1007,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.10. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MED_TRU_0107,Medicine,TRUE_CONTROL,Type 1 diabetes is caused by autoimmune destruction of insulin-producing beta cells in the pancreatic islets of Langerhans.,0,0.5,0.175,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.17. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MED_TRU_0109,Medicine,TRUE_CONTROL,The ABO blood group system involves antigens on red blood cell surfaces and corresponding antibodies in plasma.,0,0.5,0.0242,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.02. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MED_NUM_0111,Medicine,NUMERICAL_PRECISION,Normal adult resting heart rate is approximately 100–120 beats per minute.,1,0.5,0.0813,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in NUMERICAL_PRECISION had Baseline score=0.50 and Enhanced score=0.08. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MED_NUM_0112,Medicine,NUMERICAL_PRECISION,The normal fasting blood glucose level in a healthy adult is approximately 7.0–8.0 mmol/L.,1,0.5,0.1611,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in NUMERICAL_PRECISION had Baseline score=0.50 and Enhanced score=0.16. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MED_NUM_0114,Medicine,NUMERICAL_PRECISION,The human body temperature considered normal is approximately 38.5°C.,1,0.5,0.1333,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in NUMERICAL_PRECISION had Baseline score=0.50 and Enhanced score=0.13. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MED_OUT_0134,Medicine,OUTDATED_SCIENTIFIC_CLAIM,Mental illness is caused by demonic possession or supernatural forces.,1,0.5,0.4995,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in OUTDATED_SCIENTIFIC_CLAIM had Baseline score=0.50 and Enhanced score=0.50. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MED_TRU_0136,Medicine,TRUE_CORE_FALSE_ELABORATION,"Insulin, a hormone that regulates blood glucose, is produced by the alpha cells of the islets of Langerhans in the pancreas.",1,0.5,0.0334,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.03. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MED_TRU_0140,Medicine,TRUE_CORE_FALSE_ELABORATION,"Statin medications lower LDL cholesterol by inhibiting HMG-CoA reductase, and they directly reverse advanced coronary calcification within 24 hours.",1,0.5,0.2652,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.27. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_TRU_0141,Mathematics,TRUE_CONTROL,The sum of the interior angles of any triangle in Euclidean geometry is exactly 180 degrees.,0,0.5,0.1571,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.16. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_TRU_0143,Mathematics,TRUE_CONTROL,Euler's identity states that e^(iπ) + 1 = 0.,0,0.5,0.0434,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.04. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_TRU_0144,Mathematics,TRUE_CONTROL,"There are infinitely many prime numbers, as proved by Euclid.",0,0.5,0.05,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.05. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_TRU_0145,Mathematics,TRUE_CONTROL,"The Pythagorean theorem states that in a right triangle a² + b² = c², where c is the hypotenuse.",0,0.5,0.0952,1,0,BASELINE_WRONG_ENHANCED_CORRECT,NLI_SCORE_DIFFERENCE,None,SUCCESSFUL_SYMBOLIC_DETECTION,Claim in TRUE_CONTROL had Baseline score=0.50 and Enhanced score=0.10. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_UNI_0151,Mathematics,UNIT_SCALE,An angle of π radians is equivalent to 90 degrees.,1,0.5,0.0267,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in UNIT_SCALE had Baseline score=0.50 and Enhanced score=0.03. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_CAU_0165,Mathematics,CAUSAL_INVERSION,Multiplying two numbers each greater than 1 produces a product smaller than either factor.,1,0.5,0.1636,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in CAUSAL_INVERSION had Baseline score=0.50 and Enhanced score=0.16. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_OUT_0166,Mathematics,OUTDATED_SCIENTIFIC_CLAIM,The parallel postulate is a necessary consequence of the other four Euclidean postulates.,1,0.5,0.0,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in OUTDATED_SCIENTIFIC_CLAIM had Baseline score=0.50 and Enhanced score=0.00. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_TRU_0172,Mathematics,TRUE_CORE_FALSE_ELABORATION,"The central limit theorem states that the sample mean of any distribution converges to a normal distribution as n increases, regardless of whether the population has finite variance.",1,0.5,0.2855,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.29. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_TRU_0173,Mathematics,TRUE_CORE_FALSE_ELABORATION,"Euclid's algorithm finds the greatest common divisor of two integers by repeatedly subtracting the larger from the smaller, converging in O(n) steps.",1,0.5,0.3376,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.34. Mechanism: NLI_SCORE_DIFFERENCE.
8A_MAT_TRU_0175,Mathematics,TRUE_CORE_FALSE_ELABORATION,"The Riemann hypothesis, one of the Millennium Prize Problems, has been proved true for the first 10 trillion zeros of the Riemann zeta function.",1,0.5,0.258,1,0,BASELINE_CORRECT_ENHANCED_WRONG,NLI_SCORE_DIFFERENCE,None,ENGINEERING_REGRESSION,Claim in TRUE_CORE_FALSE_ELABORATION had Baseline score=0.50 and Enhanced score=0.26. Mechanism: NLI_SCORE_DIFFERENCE.
