id,domain,category,claim,ground_truth,prediction,final_score,retrieved_evidence,nli_score,symbolic_signals,failure_type,reviewer_reasoning,review_confidence,resolution
phase10_0119,Physics,CORRELATION_CAUSATION,Cosmic microwave background anisotropy is caused directly by human radio broadcast signals.,1,0,0.4929,Authoritative scientific literature reference context.,0.7076,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0127,Physics,CORRELATION_CAUSATION,Cosmic microwave background anisotropy is caused directly by human radio broadcast signals.,1,0,0.4811,Authoritative scientific literature reference context.,0.6129,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0132,Physics,EXCEPTION_GENERALIZATION,Ideal gas law PV=nRT applies perfectly to real gases undergoing phase transition into liquid.,1,0,0.4925,Authoritative scientific literature reference context.,0.7046,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0154,Chemistry,DIRECT_FACTUAL,Water molecules consist of two oxygen atoms covalently bound to one hydrogen atom.,1,0,0.483,Authoritative scientific literature reference context.,0.6109,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0156,Chemistry,DIRECT_FACTUAL,Water molecules consist of two oxygen atoms covalently bound to one hydrogen atom.,1,0,0.4842,Authoritative scientific literature reference context.,0.657,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0158,Chemistry,DIRECT_FACTUAL,Water molecules consist of two oxygen atoms covalently bound to one hydrogen atom.,1,0,0.4918,Authoritative scientific literature reference context.,0.7114,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0160,Chemistry,DIRECT_FACTUAL,Water molecules consist of two oxygen atoms covalently bound to one hydrogen atom.,1,0,0.4847,Authoritative scientific literature reference context.,0.6579,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0162,Chemistry,DIRECT_FACTUAL,Water molecules consist of two oxygen atoms covalently bound to one hydrogen atom.,1,0,0.4869,Authoritative scientific literature reference context.,0.6605,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0200,Chemistry,CAUSAL_DIRECTION,Increased chemical reaction rates cause the activation energy of catalysts to decrease.,1,0,0.4743,Authoritative scientific literature reference context.,0.6008,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0202,Chemistry,CAUSAL_DIRECTION,Increased chemical reaction rates cause the activation energy of catalysts to decrease.,1,0,0.4924,Authoritative scientific literature reference context.,0.7117,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0206,Chemistry,CAUSAL_DIRECTION,Increased chemical reaction rates cause the activation energy of catalysts to decrease.,1,0,0.4947,Authoritative scientific literature reference context.,0.7282,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0208,Chemistry,CAUSAL_DIRECTION,Increased chemical reaction rates cause the activation energy of catalysts to decrease.,1,0,0.4993,Authoritative scientific literature reference context.,0.7429,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0212,Chemistry,CONDITIONAL_CONTEXT,Le Chatelier's principle dictates that open combustion reactions spontaneously reverse at high pressure.,1,0,0.4881,Authoritative scientific literature reference context.,0.6709,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0222,Chemistry,CONDITIONAL_CONTEXT,Le Chatelier's principle dictates that open combustion reactions spontaneously reverse at high pressure.,1,0,0.4937,Authoritative scientific literature reference context.,0.7365,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0232,Chemistry,TEMPORAL_OUTDATED,Chemical combustion is governed by the release of phlogiston from combustible matter.,1,0,0.4788,Authoritative scientific literature reference context.,0.6002,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0247,Chemistry,COMPOUND_CLAIM,Gibbs free energy change depends solely on molecular weight and is independent of temperature.,1,0,0.4947,Authoritative scientific literature reference context.,0.6684,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0251,Chemistry,COMPOUND_CLAIM,Gibbs free energy change depends solely on molecular weight and is independent of temperature.,1,0,0.4912,Authoritative scientific literature reference context.,0.6404,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0253,Chemistry,COMPOUND_CLAIM,Gibbs free energy change depends solely on molecular weight and is independent of temperature.,1,0,0.499,Authoritative scientific literature reference context.,0.7134,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0260,Chemistry,TRUE_CORE_FALSE_ELABORATION,Benzene has a planar aromatic ring structure with alternating ionic triple bonds.,1,0,0.4929,Authoritative scientific literature reference context.,0.6581,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0264,Chemistry,TRUE_CORE_FALSE_ELABORATION,Benzene has a planar aromatic ring structure with alternating ionic triple bonds.,1,0,0.4857,Authoritative scientific literature reference context.,0.6093,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0271,Chemistry,CORRELATION_CAUSATION,High boiling point in water is caused by rapid radioactive decay of oxygen isotopes.,1,0,0.4941,Authoritative scientific literature reference context.,0.6995,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0275,Chemistry,CORRELATION_CAUSATION,High boiling point in water is caused by rapid radioactive decay of oxygen isotopes.,1,0,0.4961,Authoritative scientific literature reference context.,0.7417,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0282,Chemistry,EXCEPTION_GENERALIZATION,All solid ionic compounds exhibit identical infinite aqueous solubility at 100 degrees Celsius.,1,0,0.4799,Authoritative scientific literature reference context.,0.633,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0286,Chemistry,EXCEPTION_GENERALIZATION,All solid ionic compounds exhibit identical infinite aqueous solubility at 100 degrees Celsius.,1,0,0.4798,Authoritative scientific literature reference context.,0.6271,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0354,Biology,CAUSAL_DIRECTION,Accumulation of hypoxia-inducible factor 1-alpha causes atmospheric oxygen levels to drop.,1,0,0.485,Authoritative scientific literature reference context.,0.6259,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0360,Biology,CAUSAL_DIRECTION,Accumulation of hypoxia-inducible factor 1-alpha causes atmospheric oxygen levels to drop.,1,0,0.4924,Authoritative scientific literature reference context.,0.7014,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0366,Biology,CONDITIONAL_CONTEXT,Enzyme substrate affinity is completely constant across all temperatures from 0 to 500 Kelvin.,1,0,0.499,Authoritative scientific literature reference context.,0.7686,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0368,Biology,CONDITIONAL_CONTEXT,Enzyme substrate affinity is completely constant across all temperatures from 0 to 500 Kelvin.,1,0,0.4977,Authoritative scientific literature reference context.,0.7512,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0372,Biology,CONDITIONAL_CONTEXT,Enzyme substrate affinity is completely constant across all temperatures from 0 to 500 Kelvin.,1,0,0.4947,Authoritative scientific literature reference context.,0.7004,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0374,Biology,TEMPORAL_OUTDATED,Living organisms spontaneously generate from non-living decaying organic matter under warm conditions.,1,0,0.4882,Authoritative scientific literature reference context.,0.6714,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0376,Biology,TEMPORAL_OUTDATED,Living organisms spontaneously generate from non-living decaying organic matter under warm conditions.,1,0,0.494,Authoritative scientific literature reference context.,0.7123,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0378,Biology,TEMPORAL_OUTDATED,Living organisms spontaneously generate from non-living decaying organic matter under warm conditions.,1,0,0.4848,Authoritative scientific literature reference context.,0.666,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0380,Biology,TEMPORAL_OUTDATED,Living organisms spontaneously generate from non-living decaying organic matter under warm conditions.,1,0,0.4956,Authoritative scientific literature reference context.,0.6963,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0382,Biology,TEMPORAL_OUTDATED,Living organisms spontaneously generate from non-living decaying organic matter under warm conditions.,1,0,0.4793,Authoritative scientific literature reference context.,0.6251,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0392,Biology,MULTI_HOP,Photosynthesis directly splits nitrogen gas into heavy metals inside plant cell vacuoles.,1,0,0.4874,Authoritative scientific literature reference context.,0.6274,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0403,Biology,COMPOUND_CLAIM,Mitochondria lack genetic material and synthesize glucose through nuclear fusion.,1,0,0.4939,Authoritative scientific literature reference context.,0.6489,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0405,Biology,COMPOUND_CLAIM,Mitochondria lack genetic material and synthesize glucose through nuclear fusion.,1,0,0.4891,Authoritative scientific literature reference context.,0.6048,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0408,Biology,TRUE_CORE_FALSE_ELABORATION,Ribosomes synthesize polypeptides by fusing individual helium nuclei inside the cell membrane.,1,0,0.4866,Authoritative scientific literature reference context.,0.6078,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0416,Biology,TRUE_CORE_FALSE_ELABORATION,Ribosomes synthesize polypeptides by fusing individual helium nuclei inside the cell membrane.,1,0,0.4974,Authoritative scientific literature reference context.,0.6653,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0423,Biology,CORRELATION_CAUSATION,Telomerase activity causes spontaneous conversion of human cells into bacterial colonies.,1,0,0.4862,Authoritative scientific literature reference context.,0.6623,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0425,Biology,CORRELATION_CAUSATION,Telomerase activity causes spontaneous conversion of human cells into bacterial colonies.,1,0,0.4948,Authoritative scientific literature reference context.,0.6978,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0432,Biology,EXCEPTION_GENERALIZATION,All biological genes across all organisms contain exactly 50 non-coding introns.,1,0,0.4928,Authoritative scientific literature reference context.,0.6966,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0456,Medicine,DIRECT_FACTUAL,Type 1 diabetes mellitus is caused by an acute bacterial infection of the skeletal muscle tissue.,1,0,0.4861,Authoritative scientific literature reference context.,0.6757,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0460,Medicine,DIRECT_FACTUAL,Type 1 diabetes mellitus is caused by an acute bacterial infection of the skeletal muscle tissue.,1,0,0.4845,Authoritative scientific literature reference context.,0.6151,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0462,Medicine,DIRECT_FACTUAL,Type 1 diabetes mellitus is caused by an acute bacterial infection of the skeletal muscle tissue.,1,0,0.4991,Authoritative scientific literature reference context.,0.7509,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0500,Medicine,CAUSAL_DIRECTION,Ischemic angina causes cholesterol plaques to precipitate spontaneously in coronary arteries.,1,0,0.4862,Authoritative scientific literature reference context.,0.6741,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0504,Medicine,CAUSAL_DIRECTION,Ischemic angina causes cholesterol plaques to precipitate spontaneously in coronary arteries.,1,0,0.4892,Authoritative scientific literature reference context.,0.6793,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0510,Medicine,CAUSAL_DIRECTION,Ischemic angina causes cholesterol plaques to precipitate spontaneously in coronary arteries.,1,0,0.4884,Authoritative scientific literature reference context.,0.6605,"Num=0.0, Neg=0.0, Caus=0.85",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0512,Medicine,CONDITIONAL_CONTEXT,Aspirin stimulates rapid blood clot formation in patients experiencing acute arterial hemorrhage.,1,0,0.4917,Authoritative scientific literature reference context.,0.6918,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0514,Medicine,CONDITIONAL_CONTEXT,Aspirin stimulates rapid blood clot formation in patients experiencing acute arterial hemorrhage.,1,0,0.482,Authoritative scientific literature reference context.,0.635,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0518,Medicine,CONDITIONAL_CONTEXT,Aspirin stimulates rapid blood clot formation in patients experiencing acute arterial hemorrhage.,1,0,0.487,Authoritative scientific literature reference context.,0.6581,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0520,Medicine,CONDITIONAL_CONTEXT,Aspirin stimulates rapid blood clot formation in patients experiencing acute arterial hemorrhage.,1,0,0.495,Authoritative scientific literature reference context.,0.7424,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0522,Medicine,CONDITIONAL_CONTEXT,Aspirin stimulates rapid blood clot formation in patients experiencing acute arterial hemorrhage.,1,0,0.4885,Authoritative scientific literature reference context.,0.6814,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0526,Medicine,TEMPORAL_OUTDATED,Peptic ulcers are caused exclusively by psychological stress and dietary spicy peppers without bacterial involvement.,1,0,0.4972,Authoritative scientific literature reference context.,0.7199,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0528,Medicine,TEMPORAL_OUTDATED,Peptic ulcers are caused exclusively by psychological stress and dietary spicy peppers without bacterial involvement.,1,0,0.4861,Authoritative scientific literature reference context.,0.6732,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
phase10_0534,Medicine,TEMPORAL_OUTDATED,Peptic ulcers are caused exclusively by psychological stress and dietary spicy peppers without bacterial involvement.,1,0,0.4811,Authoritative scientific literature reference context.,0.6245,"Num=0.0, Neg=0.0, Caus=0.0",FALSE_NEGATIVE_UNDERDETECTION,Claim failed classification due to FALSE_NEGATIVE_UNDERDETECTION.,HIGH,RESOLVED_AS_EXPECTED_EDGE_CASE
