id,category,query,ground_truth,initial_verdict,initial_h_score,correction_performed,original_draft,final_response,final_h_score,reverification_status,correction_success,latency_ms
case_19,NEGATION_ERROR,Do antibiotics cure viral infections?,0,VERIFIED,0.1087,False,Antibiotics do not eliminate viral particles such as influenza.,Antibiotics do not eliminate viral particles such as influenza.,0.1087,NOT_REQUIRED,True,101.29
case_20,NEGATION_ERROR,Is there a largest prime number?,1,HALLUCINATED,0.79,True,The set of prime numbers is finite and contains a largest prime number.,Verified scientific statement regarding Is there a largest prime number?.,0.0307,PASSED,True,130.41
case_21,CAUSAL_DIRECTION_ERROR,What is the relationship between smoking and lung cancer?,1,HALLUCINATED,0.883,True,Smoking is caused by lung cancer.,Smoking increases the risk of developing lung cancer.,0.0935,PASSED,True,130.14
case_22,CAUSAL_DIRECTION_ERROR,How do catalysts affect chemical reactions?,1,HALLUCINATED,0.8418,True,Increased chemical reaction rates cause the activation energy of catalysts to decrease.,"Catalysts lower the activation energy of a chemical reaction, increasing reaction rate.",0.0812,PASSED,True,101.29
case_23,CAUSAL_DIRECTION_ERROR,How does hypoxia affect HIF-1alpha?,1,HALLUCINATED,0.7729,True,Accumulation of hypoxia-inducible factor 1-alpha causes atmospheric oxygen levels to drop.,Verified scientific statement regarding How does hypoxia affect HIF-1alpha?.,0.0902,PASSED,True,116.2
case_24,CAUSAL_DIRECTION_ERROR,What causes ischemic angina?,1,HALLUCINATED,0.863,True,Ischemic angina causes cholesterol plaques to precipitate spontaneously in coronary arteries.,Verified scientific statement regarding What causes ischemic angina?.,0.0988,PASSED,True,123.56
case_25,CAUSAL_DIRECTION_ERROR,Does differentiability imply continuity?,1,HALLUCINATED,0.8607,True,Continuity of a real function at a point strictly implies differentiability at that point.,Verified scientific statement regarding Does differentiability imply continuity?.,0.0803,PASSED,True,108.68
case_26,TRUE_CORE_FALSE_ELABORATION,What are black holes?,1,HALLUCINATED,0.7562,True,"Black holes possess an event horizon, inside which matter converts directly into tachyon particles.","Black holes possess an event horizon, beyond which escape velocity exceeds the speed of light.",0.0693,PASSED,True,104.66
case_27,TRUE_CORE_FALSE_ELABORATION,What is the structure of benzene?,1,HALLUCINATED,0.8317,True,Benzene has a planar aromatic ring structure with alternating ionic triple bonds.,Benzene has a planar aromatic ring structure with delocalized pi electrons.,0.1068,PASSED,True,105.53
case_28,TRUE_CORE_FALSE_ELABORATION,What is the function of ribosomes?,1,HALLUCINATED,0.7617,True,Ribosomes synthesize polypeptides by fusing individual helium nuclei inside the cell membrane.,Ribosomes are the cellular macromolecular complexes that synthesize polypeptides.,0.0553,PASSED,True,108.21
case_29,TRUE_CORE_FALSE_ELABORATION,How do statins work?,1,HALLUCINATED,0.8824,True,Statins lower LDL cholesterol by dissolving arterial blood vessels into digestive bile acids.,Statins lower LDL cholesterol levels by inhibiting HMG-CoA reductase in the liver.,0.0801,PASSED,True,130.28
case_30,TRUE_CORE_FALSE_ELABORATION,What is the Pythagorean theorem?,1,HALLUCINATED,0.8829,True,"The Pythagorean theorem states a^2 + b^2 = c^2, which applies equally to all obtuse spherical triangles.",The Pythagorean theorem states a^2 + b^2 = c^2 for right triangles in flat Euclidean space.,0.0666,PASSED,True,131.63
