sample_id,split,domain,category,claim,ground_truth,baseline_score,enhanced_score,hybrid_score,baseline_pred,enhanced_pred,hybrid_pred,baseline_correct,enhanced_correct,hybrid_correct,nli_component,numeric_component,negation_component,causal_component,decomposition_component,evidence_component,baseline_latency_ms,enhanced_latency_ms,hybrid_latency_ms
8A_BIO_OUT_0097,DEV,Biology,OUTDATED_SCIENTIFIC_CLAIM,The spontaneous generation of life from non-living matter occurs regularly in nature.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1685.81,1527.16,1528.36
8A_MED_TRU_0139,DEV,Medicine,TRUE_CORE_FALSE_ELABORATION,mRNA COVID-19 vaccines cause the body to produce spike protein antibodies and permanently alter the recipient's DNA.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1643.23,2142.24,2143.44
8A_BIO_NUM_0079,DEV,Biology,NUMERICAL_PRECISION,DNA replication copies the genome at approximately 10 nucleotides per second in humans.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1434.28,2368.56,2369.76
8A_BIO_CAU_0094,DEV,Biology,CAUSAL_INVERSION,Insulin secretion causes blood glucose levels to rise in healthy individuals.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1330.77,1769.16,1770.36
8A_CHE_TRU_0068,DEV,Chemistry,TRUE_CORE_FALSE_ELABORATION,Electroplating uses electrolysis to deposit a metal layer; the object to be plated is connected to the positive terminal of the power supply.,1,0.5,0.1885,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,2324.15,3881.88,3883.08
8A_PHY_NEG_0017,DEV,Physics,NEGATION,Photons do not have zero rest mass.,1,0.5,1.0,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1438.66,1351.78,1352.98
8A_MAT_TRU_0143,DEV,Mathematics,TRUE_CONTROL,Euler's identity states that e^(iπ) + 1 = 0.,0,0.5,0.0434,0.85,1,0,1,False,True,False,0.5,0.0,0.0,0.0,0.0,0.0,2798.87,2599.21,2600.41
8A_MED_TRU_0109,DEV,Medicine,TRUE_CONTROL,The ABO blood group system involves antigens on red blood cell surfaces and corresponding antibodies in plasma.,0,0.5,0.0242,0.85,1,0,1,False,True,False,0.5,0.0,0.0,0.0,0.0,0.0,2096.2,2293.62,2294.82
8A_PHY_UNI_0011,DEV,Physics,UNIT_SCALE,The mass of the electron is approximately 9.11×10⁻³¹ grams.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1748.59,1521.9,1523.1
8A_MAT_OUT_0170,DEV,Mathematics,OUTDATED_SCIENTIFIC_CLAIM,The four-colour theorem cannot be proved by computer-assisted verification.,1,0.5,0.85,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1800.0,2071.08,2072.28
8A_BIO_UNI_0082,DEV,Biology,UNIT_SCALE,The average human red blood cell has a diameter of approximately 8 mm.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1391.95,1808.32,1809.52
8A_BIO_NEG_0087,DEV,Biology,NEGATION,Enzymes are permanently consumed and destroyed during the biochemical reactions they catalyse.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1862.87,1901.69,1902.89
8A_MED_TRU_0107,DEV,Medicine,TRUE_CONTROL,Type 1 diabetes is caused by autoimmune destruction of insulin-producing beta cells in the pancreatic islets of Langerhans.,0,0.5,0.175,0.85,1,0,1,False,True,False,0.5,0.0,0.0,0.0,0.0,0.0,2313.61,2235.37,2236.57
8A_MAT_TRU_0171,DEV,Mathematics,TRUE_CORE_FALSE_ELABORATION,Bayes' theorem provides a way to update probabilities based on new evidence; it states that P(A|B) = P(B|A).,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,5215.74,3935.73,3936.93
8A_CHE_UNI_0047,DEV,Chemistry,UNIT_SCALE,Standard atomic weight of iron is approximately 55.8 kg/mol.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1483.43,1428.52,1429.72
8A_MED_CAU_0126,DEV,Medicine,CAUSAL_INVERSION,ACE inhibitors lower blood pressure by increasing angiotensin II production.,1,0.5,0.9917,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1718.32,2305.94,2307.14
8A_MAT_TRU_0174,DEV,Mathematics,TRUE_CORE_FALSE_ELABORATION,P vs NP is an unsolved problem in computer science asking whether every problem whose solution can be verified in polynomial time can also be solved in polynomial time; most experts believe P = NP.,1,0.5,0.5003,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,5384.16,4312.97,4314.17
8A_MED_CAU_0129,DEV,Medicine,CAUSAL_INVERSION,Opioids reduce pain perception by blocking μ-opioid receptors in the CNS.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1807.3,1954.54,1955.74
8A_MAT_CAU_0163,DEV,Mathematics,CAUSAL_INVERSION,Adding more features to a linear regression model always reduces the training R² value.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,4633.93,1632.76,1633.96
8A_PHY_NUM_0007,DEV,Physics,NUMERICAL_PRECISION,An electron has a rest mass of approximately 9.11×10⁻²⁷ kilograms.,1,0.5,0.0111,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1690.39,1783.27,1784.47
8A_CHE_UNI_0048,DEV,Chemistry,UNIT_SCALE,The concentration of a 1 M NaCl solution contains 1 gram of NaCl per litre.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1618.17,1505.17,1506.37
8A_PHY_OUT_0028,DEV,Physics,OUTDATED_SCIENTIFIC_CLAIM,Newtonian mechanics provides a complete description of motion at all speeds and scales.,1,0.5,0.5065,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1876.89,1980.12,1981.32
8A_MAT_OUT_0169,DEV,Mathematics,OUTDATED_SCIENTIFIC_CLAIM,Fermat's Last Theorem remained unproved and may be unprovable.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,4802.54,1662.76,1663.96
8A_CHE_UNI_0046,DEV,Chemistry,UNIT_SCALE,The boiling point of water at standard pressure is 100 K.,1,0.5,0.6152,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1577.73,1596.65,1597.85
8A_CHE_NEG_0055,DEV,Chemistry,NEGATION,Exothermic reactions do not release heat to the surroundings.,1,0.5,0.9994,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1560.16,2185.89,2187.09
8A_CHE_NEG_0052,DEV,Chemistry,NEGATION,Covalent bonds are not formed by sharing electrons between atoms.,1,0.5,0.9983,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1588.51,1582.68,1583.88
8A_BIO_UNI_0085,DEV,Biology,UNIT_SCALE,The human genome contains approximately 3 billion kilobases of DNA.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,2594.15,1852.23,1853.43
8A_CHE_CAU_0060,DEV,Chemistry,CAUSAL_INVERSION,Exothermic dissolution causes the solution temperature to decrease because heat is released.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,2377.32,1989.91,1991.11
8A_CHE_NEG_0051,DEV,Chemistry,NEGATION,Acids do not donate protons to bases in Brønsted–Lowry acid-base theory.,1,0.5,0.9856,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,2527.87,2071.14,2072.34
8A_MAT_TRU_0145,DEV,Mathematics,TRUE_CONTROL,"The Pythagorean theorem states that in a right triangle a² + b² = c², where c is the hypotenuse.",0,0.5,0.0952,0.85,1,0,1,False,True,False,0.5,0.0,0.0,0.0,0.0,0.0,1893.09,2039.22,2040.42
8A_MED_NEG_0125,DEV,Medicine,NEGATION,Antigen-presenting cells do not activate T lymphocytes during the adaptive immune response.,1,0.5,0.8827,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1967.99,2450.06,2451.26
8A_CHE_TRU_0066,DEV,Chemistry,TRUE_CORE_FALSE_ELABORATION,The Haber process synthesises ammonia from nitrogen and hydrogen gas and requires a temperature of exactly 300°C to proceed.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1692.38,1692.3,1693.5
8A_BIO_TRU_0101,DEV,Biology,TRUE_CORE_FALSE_ELABORATION,"The polymerase chain reaction (PCR), developed by Kary Mullis in 1983, amplifies DNA using RNA polymerase.",1,0.5,0.0917,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,2452.47,2563.82,2565.02
8A_PHY_UNI_0013,DEV,Physics,UNIT_SCALE,The speed of light is approximately 3×10⁸ kilometres per second.,1,0.5,0.15,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1701.38,1642.6,1643.8
8A_CHE_TRU_0040,DEV,Chemistry,TRUE_CONTROL,Sodium chloride (NaCl) dissociates completely into Na⁺ and Cl⁻ ions when dissolved in water.,0,0.5,1.0,0.85,1,1,1,False,False,False,0.5,0.0,0.0,0.0,0.0,0.0,1390.3,2053.43,2054.63
8A_MAT_OUT_0168,DEV,Mathematics,OUTDATED_SCIENTIFIC_CLAIM,The set of real numbers has the same cardinality as the set of natural numbers.,1,0.5,0.9199,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,4576.28,1992.0,1993.2
8A_CHE_TRU_0038,DEV,Chemistry,TRUE_CONTROL,Carbon-12 is the most abundant stable isotope of carbon.,0,0.5,0.05,0.85,1,0,1,False,True,False,0.5,0.0,0.0,0.0,0.0,0.0,1548.44,2057.03,2058.23
8A_BIO_NEG_0090,DEV,Biology,NEGATION,Telomeres do not shorten with each cell division in somatic cells.,1,0.5,1.0,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,2087.34,2333.2,2334.4
8A_MAT_UNI_0152,DEV,Mathematics,UNIT_SCALE,The area of a circle with radius 1 metre is π square centimetres.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,5006.27,1427.11,1428.31
8A_MAT_UNI_0155,DEV,Mathematics,UNIT_SCALE,The natural logarithm of 1 is equal to 1.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1800.0,226.29,227.49
8A_MED_OUT_0132,DEV,Medicine,OUTDATED_SCIENTIFIC_CLAIM,"Stomach ulcers are caused primarily by stress and excess stomach acid, with no role for infection.",1,0.5,0.85,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1714.52,2642.46,2643.66
8A_MAT_NUM_0147,DEV,Mathematics,NUMERICAL_PRECISION,Euler's number e is approximately 2.178.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1453.8,1860.52,1861.72
8A_CHE_CAU_0058,DEV,Chemistry,CAUSAL_INVERSION,"An increase in pressure causes gas solubility in liquids to decrease, according to Henry's law.",1,0.5,0.4142,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1879.71,2056.64,2057.84
8A_MED_UNI_0116,DEV,Medicine,UNIT_SCALE,A standard adult dose of aspirin for analgesia is approximately 500 grams.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1687.55,2597.06,2598.26
8A_CHE_OUT_0061,DEV,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,Phlogiston is the substance released during combustion.,1,0.5,0.8816,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1602.17,1557.86,1559.06
8A_BIO_TRU_0103,DEV,Biology,TRUE_CORE_FALSE_ELABORATION,"The HIV virus causes AIDS by infecting and destroying CD4+ T-cells, and it was first identified in the 1970s.",1,0.5,0.5061,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1919.0,3743.52,3744.72
8A_MED_OUT_0135,DEV,Medicine,OUTDATED_SCIENTIFIC_CLAIM,The appendix is a completely vestigial organ with no function in the human body.,1,0.5,0.85,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1701.87,1545.3,1546.5
8A_CHE_NEG_0053,DEV,Chemistry,NEGATION,Oxidation does not involve the loss of electrons.,1,0.5,0.9987,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1809.68,1496.08,1497.28
8A_MAT_TRU_0142,DEV,Mathematics,TRUE_CONTROL,The number π is irrational and cannot be expressed as a ratio of two integers.,0,0.5,0.85,0.9545,1,1,1,False,False,False,0.5,0.0,0.6,0.0,0.0,0.0,2092.28,1948.83,1950.03
8A_BIO_NEG_0089,DEV,Biology,NEGATION,DNA polymerase does not require a primer to initiate synthesis of a new DNA strand.,1,0.5,0.9781,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1542.23,2135.68,2136.88
8A_MED_NUM_0112,DEV,Medicine,NUMERICAL_PRECISION,The normal fasting blood glucose level in a healthy adult is approximately 7.0–8.0 mmol/L.,1,0.5,0.1611,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,2147.55,2326.4,2327.6
8A_MAT_NUM_0148,DEV,Mathematics,NUMERICAL_PRECISION,The square root of 2 is exactly 1.4.,1,0.5,0.9944,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,2112.97,2144.38,2145.58
8A_PHY_OUT_0030,DEV,Physics,OUTDATED_SCIENTIFIC_CLAIM,Heat is a fluid substance called caloric that flows from hot to cold objects.,1,0.5,0.0082,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,2162.83,1558.05,1559.25
8A_CHE_NUM_0041,DEV,Chemistry,NUMERICAL_PRECISION,Water has a molar mass of approximately 36 g/mol.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1586.49,2142.51,2143.71
8A_BIO_TRU_0075,DEV,Biology,TRUE_CONTROL,Photosynthesis in plants occurs in the chloroplast and converts CO₂ and water into glucose using light energy.,0,0.5,0.1636,0.85,1,0,1,False,True,False,0.5,0.0,0.0,0.0,0.0,0.0,2319.0,2040.66,2041.86
8A_BIO_OUT_0100,DEV,Biology,OUTDATED_SCIENTIFIC_CLAIM,Neurons in the adult brain cannot regenerate or form new connections.,1,0.5,0.9838,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1429.05,2022.35,2023.55
8A_MED_UNI_0120,DEV,Medicine,UNIT_SCALE,A normal adult produces approximately 1500 litres of urine per day.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1494.04,2395.17,2396.37
8A_CHE_OUT_0064,DEV,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,"Atoms are indivisible solid spheres, as proposed by Dalton's atomic model.",1,0.5,0.2748,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,5662.24,1723.42,1724.62
8A_BIO_TRU_0071,DEV,Biology,TRUE_CONTROL,Human DNA contains approximately 3 billion base pairs.,0,0.5,1.0,0.85,1,1,1,False,False,False,0.5,0.0,0.0,0.0,0.0,0.0,1990.88,1517.5,1518.7
8A_MED_OUT_0134,DEV,Medicine,OUTDATED_SCIENTIFIC_CLAIM,Mental illness is caused by demonic possession or supernatural forces.,1,0.5,0.4995,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1737.53,2109.85,2111.05
8A_MAT_NEG_0156,DEV,Mathematics,NEGATION,The empty set is not a subset of every set.,1,0.5,0.9044,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,5135.16,1904.59,1905.79
8A_MAT_TRU_0172,DEV,Mathematics,TRUE_CORE_FALSE_ELABORATION,"The central limit theorem states that the sample mean of any distribution converges to a normal distribution as n increases, regardless of whether the population has finite variance.",1,0.5,0.2855,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,5642.68,2564.5,2565.7
8A_PHY_UNI_0012,DEV,Physics,UNIT_SCALE,Planck's constant is approximately 6.626×10⁻³⁴ electron-volts per second.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,2007.19,2064.32,2065.52
8A_PHY_NUM_0006,DEV,Physics,NUMERICAL_PRECISION,The speed of light in a vacuum is approximately 3×10⁶ metres per second.,1,0.5,0.1333,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1633.09,1405.93,1407.13
8A_MED_UNI_0119,DEV,Medicine,UNIT_SCALE,A standard adult oral dose of paracetamol is approximately 1 kilogram.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1477.03,1434.65,1435.85
8A_PHY_CAU_0023,DEV,Physics,CAUSAL_INVERSION,Stronger magnetic fields cause slower charged particle precession in NMR.,1,0.5,0.5012,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,2007.52,1873.37,1874.57
8A_MAT_NEG_0157,DEV,Mathematics,NEGATION,Gödel's incompleteness theorems do not apply to Peano arithmetic.,1,0.5,0.85,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,5935.46,1840.11,1841.31
8A_MED_NUM_0114,DEV,Medicine,NUMERICAL_PRECISION,The human body temperature considered normal is approximately 38.5°C.,1,0.5,0.1333,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1833.19,2167.2,2168.4
8A_BIO_TRU_0105,DEV,Biology,TRUE_CORE_FALSE_ELABORATION,"Restriction enzymes, used in molecular cloning, cut DNA at random positions along the strand.",1,0.5,0.2699,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1561.23,2237.48,2238.68
8A_PHY_TRU_0004,DEV,Physics,TRUE_CONTROL,Planck's constant has a value of approximately 6.626×10⁻³⁴ joule-seconds.,0,0.5,0.5005,0.85,1,1,1,False,False,False,0.5,0.0,0.0,0.0,0.0,0.0,2749.89,2358.53,2359.73
8A_MAT_NEG_0158,DEV,Mathematics,NEGATION,A continuous function defined on a closed bounded interval does not necessarily achieve its maximum value.,1,0.5,0.85,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,4759.51,1816.43,1817.63
8A_MED_NUM_0111,DEV,Medicine,NUMERICAL_PRECISION,Normal adult resting heart rate is approximately 100–120 beats per minute.,1,0.5,0.0813,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1650.1,2039.27,2040.47
8A_MED_TRU_0136,DEV,Medicine,TRUE_CORE_FALSE_ELABORATION,"Insulin, a hormone that regulates blood glucose, is produced by the alpha cells of the islets of Langerhans in the pancreas.",1,0.5,0.0334,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,2245.84,3177.57,3178.77
8A_PHY_CAU_0025,DEV,Physics,CAUSAL_INVERSION,Compressing a gas adiabatically causes its temperature to decrease.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1401.64,1729.95,1731.15
8A_MED_NEG_0121,DEV,Medicine,NEGATION,"Metformin, a first-line treatment for type 2 diabetes, does not lower blood glucose levels.",1,0.5,1.0,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,3112.74,2043.14,2044.34
8A_MAT_NEG_0160,DEV,Mathematics,NEGATION,Not all natural numbers are either even or odd.,1,0.5,0.85,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1800.0,1741.88,1743.08
8A_PHY_OUT_0027,DEV,Physics,OUTDATED_SCIENTIFIC_CLAIM,The luminiferous ether is the medium through which light propagates.,1,0.5,0.1214,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1721.37,1698.2,1699.4
8A_BIO_CAU_0092,DEV,Biology,CAUSAL_INVERSION,"Natural selection acts on genotype directly, causing changes in phenotype distribution.",1,0.5,0.2694,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,2235.17,2396.47,2397.67
8A_CHE_TRU_0036,DEV,Chemistry,TRUE_CONTROL,Water has a molecular formula of H₂O and a molar mass of approximately 18 g/mol.,0,0.5,0.1333,0.85,1,0,1,False,True,False,0.5,0.0,0.0,0.0,0.0,0.0,1588.59,1782.09,1783.29
8A_BIO_OUT_0098,DEV,Biology,OUTDATED_SCIENTIFIC_CLAIM,Genes are located on proteins rather than nucleic acids.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1781.28,1461.45,1462.65
8A_MED_TRU_0140,DEV,Medicine,TRUE_CORE_FALSE_ELABORATION,"Statin medications lower LDL cholesterol by inhibiting HMG-CoA reductase, and they directly reverse advanced coronary calcification within 24 hours.",1,0.5,0.2652,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,2419.86,3295.02,3296.22
8A_MAT_NUM_0149,DEV,Mathematics,NUMERICAL_PRECISION,The sum of interior angles of a regular hexagon is 540 degrees.,1,0.5,0.9586,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,2075.84,2398.62,2399.82
8A_PHY_NEG_0018,DEV,Physics,NEGATION,The gravitational force between two masses does not depend on the distance between them.,1,0.5,0.989,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1878.4,1975.54,1976.74
8A_MAT_CAU_0162,DEV,Mathematics,CAUSAL_INVERSION,Increasing the significance threshold α from 0.01 to 0.05 makes a test more conservative.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,4728.73,2550.43,2551.63
8A_MED_OUT_0131,DEV,Medicine,OUTDATED_SCIENTIFIC_CLAIM,Bloodletting is an effective treatment for fever and infectious diseases.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1285.24,2643.67,2644.87
8A_CHE_NUM_0043,DEV,Chemistry,NUMERICAL_PRECISION,The boiling point of water at standard pressure is 212°C.,1,0.5,0.05,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,1856.38,1625.19,1626.39
8A_MAT_NUM_0146,DEV,Mathematics,NUMERICAL_PRECISION,The value of π is exactly 22/7.,1,0.5,0.9954,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1889.53,1702.04,1703.24
8A_MED_NEG_0123,DEV,Medicine,NEGATION,Vaccines do not stimulate the adaptive immune system to produce antigen-specific memory cells.,1,0.5,1.0,0.9545,1,1,1,True,True,True,0.5,0.0,0.6,0.0,0.0,0.0,1628.17,2426.11,2427.31
8A_BIO_UNI_0083,DEV,Biology,UNIT_SCALE,DNA nucleotides are spaced approximately 3.4 cm apart along the double helix.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1608.28,2045.7,2046.9
8A_CHE_TRU_0067,DEV,Chemistry,TRUE_CORE_FALSE_ELABORATION,"DNA is composed of nucleotides, each containing a phosphate group, a sugar, and one of four nitrogenous bases; the sugar in DNA is ribose.",1,0.5,0.368,0.85,1,0,1,True,False,True,0.5,0.0,0.0,0.0,0.0,0.0,2934.98,5746.15,5747.35
8A_MAT_CAU_0161,DEV,Mathematics,CAUSAL_INVERSION,A larger sample size causes statistical tests to become less powerful.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,5377.46,1563.57,1564.77
8A_PHY_TRU_0034,DEV,Physics,TRUE_CORE_FALSE_ELABORATION,"Black holes, regions of spacetime where gravity prevents even light from escaping, were first observed directly by the Hubble Space Telescope in 1995.",1,0.5,0.9,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,2221.78,1601.84,1603.04
8A_CHE_OUT_0063,DEV,Chemistry,OUTDATED_SCIENTIFIC_CLAIM,Benzene is composed of alternating single and double bonds that are fixed in position.,1,0.5,1.0,0.85,1,1,1,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,1544.46,1937.77,1938.97
